房间	Phòng
天道神丹	Thiên Đạo Thần Đan
天道神器	Thiên Đạo Thần Khí
赤炎覆天真言	Xích Viêm Phúc Thiên Chân Ngôn
道基流光神雷	Đạo Cơ Lưu Quang Thần Lôi
阴阳流光真言	Âm Dương Lưu Quang Chân Ngôn
急诵	Cấp Tụng
急诵秘法	Cấp tốc tụng Bí Pháp
崩天经	Băng Thiên kinh
朱雀归藏九卷	Chu Tước Quy Tàng Cửu Quyển
五戒急诵秘诀	Ngũ Giới Cấp Tụng Bí Quyết
道基崩天密卷	Đạo Cơ Băng Thiên Mật Quyển
焚日金刚宝典	Phần Nhật Kim Cương Bảo Điển
东华咒神	Đông Hoa Chú Thần
丙火急诵宝典	Bính Hỏa Cấp Tụng Bảo Điển
御气崩天经	Kinh Ngự Khí Băng Thiên
丁火千钧秘诀	Đinh Hỏa Thiên Quân Bí Quyết
鲸吞秘传	Kình Thôn Bí Truyền
长生辟谷要诀	Trường Sinh Bế Quan Yêu Quyết
龙虎神视要诀	Long Hổ Thần Thị Yêu Quyết
赤霄宫神龟宝典	Xích Tiêu Cung Thần Quy Bảo Điển
赤炎佛心	Phật tâm Xích Viêm
炽凰沃野丹方	Xích Hoàng Dã Đan Phương
华山妙手	Diệu Thủ Hoa Sơn
御神妙手要诀	Ngự Thần Diệu Thủ Yếu Quyết
玄牝重生法	Huyền Tẫn Trọng Sinh Pháp
少林覆天真言	Thiếu Lâm Phúc Thiên Chân Ngôn
御气陨星真言	Ng御 Khí Vẫn Tinh Chân Ngôn
归藏要诀	Quy Tàng Yêu Quyết
千钧	Thiên Quân
崩天秘诀	Bí Quyết Băng Thiên
归源咒神九卷	Quy Nguyên Chú Thần cửu quyển
嵩山咒神九卷	Tung Sơn Chú Thần Cửu Quyển
惊波归藏七签	Kinh Ba Quy Tạng Thất Thiêm
白帝宫归藏卷	Bạch Đế Cung Quy Tàng Quyển
六气急诵九卷	Lục Khí Cấp Tụng Cửu Quyển
彻法归藏秘法	Triệt Pháp Quy Tàng Bí Pháp
壬癸崩天	Nhâm Quý Băng Thiên
三才归藏	Tam Tài Quy Tàng
合一册	Hợp Nhất
百炼	Bách Luyện
玄武神农秘要	Huyền Vũ Thần Nông Bí Yếu
黄庭鲸吞纪要	Hoàng Đình Kình Đốn Ký Yếu
嵩山鬼手宝册	Tung Sơn Quỷ Thủ Bảo Sách
勾陈摄神典	Câu Trần Nhiếp Thần Điển
逆浪佛心记	Ký Phật Tâm Nghịch Lãng
杜国真人佛心记	Đỗ Quốc Chân Nhân Phật Tâm Ký
百汇摄神秘要	Bách Hội Nhiếp Thần Bí Yếu
魂体寄生	Hồn Thể Ký Sinh
慧剑斩念	Tuệ Kiếm Trảm Niệm
玄机心光咒	Huyền Cơ Tâm Quang Chú
太乙金刚神雷	Thái Ất Kim Cương Thần Lôi
壬水化伤	Nhâm Thủy Hóa Thương
崩天宝典	Băng Thiên Bảo Điển
咒神七签	Chú Thần Thất Thiêm
百炼要诀	Bách Luyện Yêu Quyết
摄神记	Nhiếp Thần ký
现在贤神佑要诀	Hiện Tại Hiền Thần Hựu Yếu Quyết
新境通慧	Tân Cảnh Thông Tuệ
百汇通慧典	Điển Bách Hội Thông Tuệ
灵淬之法	Pháp Luyện Linh Tẩy
尤灵雁上仙燃灵诀	Vưu Linh Nhạn Thượng Tiên Nhiên Linh Quyết
辛金接天神雷	Thần Lôi Tiếp Thiên Tân Kim
阴阳九极	Âm Dương Cửu Cực
急诵卷	Cấp Tụng quyển
迅击秘诀	Tấn Kích Bí Quyết
百炼秘传	Bách Luyện Bí Truyền
少林鬼手密卷	Thiếu Lâm Quỷ Thủ Mật Quyển
金雷合一记	Kim Lôi Hợp Nhất Ký
搜魂大法	Đại Pháp Tìm Hồn
风水鉴定	Phong Thủy Giám Định
麒麟落花神雷	Kỳ Lân Lạc Hoa Thần Lôi
崩天七签	Thất phù Băng Thiên
蓄神秘法	Tích Thần Bí pháp
五内混元式	Thức Ngũ Nội Hỗn Nguyên
赤日奠基经	Xích Nhật Điện Cơ Kinh
百草阁咒神七签	Bách Thảo Các - Thất Thiên Chú Thần
入道归藏经	Nhập Đạo Quy Tàng Kinh
阴阳鬼手卷	Ân Dương Quỷ Thủ Quyển
彻法归藏卷	Quyển Triệt Pháp Quy Tàng
冥灵真法	Minh Linh Chân Pháp
灵犀咒	Linh Tê Chú
流光咒	Chú Lưu Quang
断岳先天一气咒	Tiên Thiên Nhất Khí Đoạn Nhạc Chú
现在贤清心真言	Hiện Tại Hiền Thanh Tâm Chân Ngôn
斩天流光	Trảm Thiên Lưu Quang
咒神秘法	Chú Thần Bí Pháp
归藏卷	Quy Tàng quyển
咒神卷	Chú Thần Quyển
白虎崩天九卷	Bạch Hổ Băng Thiên Chín Quyển
辛金崩天经	Lucent Băng Thiên Kinh
鬼手秘传	Quỷ Thủ Bí Truyền
鬼手要诀	Quỷ thủ Yêu Quyết
气摄经	Khí Nhiếp Kinh
庚辛鲸吞秘传	Canh Tân Kình Thôn Bí Truyền
震雷神视秘法	Chấn Lôi Thần Thị Bí Pháp
赤月饕餮纪要	Xích Nguyệt Thao Thiết Kỷ Yếu
本源多宝纲要	Bản Nguyên Đa Bảo Cương Yếu
天金合一记	Thiên Kim Hợp Nhất Ký
庚金鬼手要诀	Yếu Quyết Quỷ Thủ Canh Kim
周天神算	Chu Thiên Thần Toán
阴神夺舍	Âm thần đoạt xá
形容之蚀	Hình Dung Chi Thực
形容返照	Hình Dung Phản Chiếu
血骨炼形	Huyết Cốt Luyện Hình
龟息诀	Quy Tức Quyết
五感之蚀	Ngũ Cảm Chi Thực
五感返照	Ngũ Cảm Phản Chiếu
蛰命法	Trạch Mệnh Pháp
献祭	Hiến Tế
神智之蚀	Thần Trí Chi Thực
神智返照	Thần Trí Phản Chiếu
鼎炉吸真术	Đỉnh Lô Hấp Chân Thuật
天魔解体大法	Thiên Ma Giải Thể Đại Pháp
欺天	Khi Thiên
窃天	Thất Thiên
阳神夺舍	Dương thần đoạt xá
气运之蚀	Khí Vận Chi Thực
气运返照	Khí Vận Phản Chiếu
九幽返照	Cửu U Phản Chiếu
浊之躯	Trọc Chi Thân
护体血罡	Hộ Thể Huyết Cương
凝血神盾	Ngưng Huyết Thần Thuẫn
偷天	T thâu thiên
换日	Hoán Nhật
秘宝：偷天七绝针	Bí Bảo: Thâu Thiên Thất Tuyệt Châm
碧光落花神雷	Bích Quang Lạc Hoa Thần Lôi
归真覆天真言	Quy Chân Phục Thiên Chân Ngôn
圆转剑	Viên Chuyển Kiếm
通慧	Thông Tuệ
黄芽多宝	Hoàng Nha Đa Bảo
大日决意要诀	Yếu Quyết Quyết Ý Đại Nhật
归真万古神功	Quy Chân Vạn Cổ Thần Công
天心正法	Thiên Tâm Chính Pháp
心印诀	Tâm Ấn Quyết
蜀山蓄神宝典	Thục Sơn Trữ Thần Bảo Điển
初解流光咒	Chú Lưu Quang Sơ Giải
飞星神雷	Phi Tinh Thần Lôi
知节回春咒	Tri Tiết Hồi Xuân Chú
忘情九极真言	Vong Tình Cửu Cực Chân Ngôn
咒神九卷	Chú Thần Cửu Quyển
咒神秘诀	Chú Thần bí quyết
知节急诵经	Kinh Tri Tiết Cấp Tụng
龙虎崩天秘要	Bí yếu Băng Thiên Long Hổ
佛心	Phật Tâm
佛心典	Phật Tâm điển
初解气摄	Khí Nhiếp Sơ Giải
东华归祖经	Đông Hoa Quy Tổ Kinh
玄关合一册	Huyền Quan Hợp Nhất Sách
化形圆转十三式	Mười Ba Thức Viên Chuyển Hóa Hình
大衍神算	Đại Diễn Thần Toán
吸星掌	Hấp Tinh Chưởng
幽淬之法	Pháp Luyện U Tẩy
大日金刚	Đại Nhật Kim Cương
混元剑诀	Hỗn Nguyên Kiếm Quyết
破灭十式	Phá Diệt Mười Thức
破灭	Phá Diệt
曳影	Duệ Ảnh
神佑书	Thần Hữu thư
气摄神功	Khí Nhiếp Thần Công
百炼纲要	Bách luyện cương yếu
鲁绮思上仙气摄	Lỗ Kỳ Tư Thượng Tiên Khí Nhiếp
新境百炼纲要	Cương yếu Bách Luyện Tân Cảnh
勾陈佛心	Câu Trần Phật Tâm
大日鲸吞经	Kinh Kình Thôn Đại Nhật
太乙琢玉密卷	Thái Ất Trác Ngọc Mật Quyển
鸿蒙蓄神	Hồng Mông Tích Thần
御灵术	Ngự Linh Thuật
彻法辟谷宝典	Triệt Pháp Tịch Cốc Bảo Điển
流光真言	Lưu Quang Chân Ngôn
天火天星	Thiên Hỏa Thiên Tinh
圆转决	Viên Chuyển
混元宝典	Hỗn Nguyên Bảo Điển
天火千钧剑	Thiên Hỏa Thiên Quân kiếm
丁火迅影剑	Đinh Hỏa Tấn Ảnh Kiếm
燃魂破灭决	Nhiên Hồn Phá Diệt quyết
微草破灭七式	Bảy Thức Phá Diệt Vi Thảo
赤炎破灭式	Thức Phá Diệt Xích Viêm
炽凰蓄神	Sí Hoàng Súc Thần
鲸吞纪要	Kình Thôn Kỷ Yếu
鲸吞秘法	Kình Thôn Bí Pháp
神视经	Thần Thị Kinh
丙火百炼纲要	Bính Hỏa Bách Luyện Cương Yếu
少林摄神密卷	Mật quyển Nhiếp Thần Thiếu Lâm
天火合一	Thiên Hỏa Hợp Nhất
托体同山诀	Thác Thể Đồng Sơn Quyết
紫薇震地咒	Chú Tử Vi Chấn Địa
逆浪落花诀	Quyết Lạc Hoa Nghịch Lãng
东华镇神诀	Quyết Đông Hoa Trấn Thần
决意秘要	Bí yếu Quyết ý
过去庄严沃野宝册	Quá Khứ Trang Nghiêm Uổng Dã Bảo Sách
神视	Thần Thị
神视宝典	Thần Thị Bảo Điển
神佑密卷	Thần Hữu mật quyển
勾陈决意密卷	Câu Trần Quyết Ý Mật Quyển
万源归真摄神典	Vạn Nguyên Quy Chân Nhiếp Thần Điển
修蛇通慧书	Tu Xà Thông Tuệ Thư
金丹神农药典	Kim Đan Thần Nông Dược Điển
五台清心神功	Ngũ Đài Thanh Tâm Thần Công
化形摄神书	Hóa Hình Nhiếp Thần Thư
万源归真摄神册	Nhiếp Thần Vạn Nguyên Quy Chân Sách
风月幻境	Phong Nguyệt Huyễn Cảnh
赤日通慧记	Xích Nhật Thông Tuệ Ký
紫云宫鲸吞	Cung Tử Vân Kình Thôn
御气急诵秘诀	Bí Quyết Ngự Khí Cấp Tụng
长生通天咒	Trường Sinh Thông Thiên Chú
通天诀	Thông thiên quyết
坤元密卷	Khôn Nguyên Mật Quyển
迅影七式	Thất Thức Tấn Ảnh
坤元宝典	Khôn Nguyên Bảo Điển
圆转秘法	Viên Chuyển Bí Pháp
甲木圆转十式	Giáp Mộc Viên Chuyển thập thức
入道破灭秘诀	Nhập Đạo Phá Diệt Bí Quyết
乙木蓄神	Ất Mộc Tích Thần
冷月迅击剑	Kiếm Tấn Công Lãnh Nguyệt
华山千钧剑诀	Hoa Sơn Thiên Cân Kiếm Quyết
东海蓄神七式	Đông Hải Trữ Thần Thất Thức
长生迅击十式	Trường Sinh Tấn Kích Thập Thức
况承真人神龟纪要	Thần Quy Khánh Thừa Chân Nhân Ký Yếu
百炼通卷	Bách Luyện Thông Quyển
万木决意经	Vạn Mộc Quyết Ý Kinh
赤日多宝秘要	Xích Nhật Đa Bảo Bí Yếu
苍木百炼通卷	Thương Mộc Bách Luyện Thông Quyển
苍龙气摄	Thanh Long Khí Nhiếp
现在贤百炼秘法	Hiện Tại Hiền Bách Luyện Bí Pháp
紫霄妙手通卷	Tử Tiêu Diệu Thủ Thông Quyển
大日五气	Đại Nhật Ngũ Khí
天星真言	Chân ngôn Thiên Tinh
奠基	Điện Cơ
奠基密卷	Điện Cơ Mật Quyển
少林急诵	Thiếu Lâm Cấp Tụng
鲸吞	Kình Thôn
百汇决意秘传	Bách Hội Quyết Ý Bí Quyết
大日鲸吞纪要	Đại Nhật Kình Thôn Kỷ Yếu
武当佛心宝典	Võ Đang Phật Tâm Bảo Điển
未来星宿百炼密卷	Vị Lai Tinh Tú Bách Luyện Mật Quyển
南海辟谷纪要	Nam Hải Bế Quan Kỷ Yếu
时氏多宝通卷	Thời Thị Đa Bảo Thông Quyển
玄武千钧剑	Huyền Vũ Thiên Quân Kiếm
百炼诀	Bách Luyện Quyết
博物志	Bác Vật Chí
上清真气	Thượng Thanh Chân Khí
灵淬法	Linh Tẩy Pháp
炼器十要	Luyện Khí Thập Yếu
炼制灵石之术	Thuật Luyện Chế Linh Thạch
琢玉册	Trác Ngọc Sách
丙丁雷泽火	Bính Đinh Lôi Trạch Hỏa
神火合一·雷泽	Thần Hỏa Hợp Nhất·Lôi Trạch
上清先天真焰	Thượng Thanh Tiên Thiên Chân Diễm
神火合一·上清	Thần Hỏa Hợp Nhất·Thượng Thanh
心焰	Tâm Diễm
神火合一·心焰	Thần Hỏa Hợp Nhất·Tâm Diễm
上清秘传造化真解	Thượng Thanh Bí Truyền Tạo Hóa Chân Giải
彻法无形神雷	Triệt Pháp Vô Hình Thần Lôi
现在贤落花真言	Hiện Tại Hiền Lạc Hoa Chân Ngôn
知节覆天	Tri Tiết Phúc Thiên
微草清心要诀	Yếu Quyết Thanh Tâm Vi Thảo
炽凰神佑	Xích Hoàng Thần Hựu
入道饕餮神功	Nhập Đạo Thao Thiết Thần Công
紫火神视	Thần Thị Tử Hỏa
炽凰决意秘传	Sí Hoàng Quyết Ý bí truyền
未来星宿万古经	Kinh Vạn Cổ Tinh Túc Vị Lai
六气千钧	Lục Khí Thiên Quân
大日燃灵神雷	Đại Nhật Nhiên Linh Thần Lôi
六气不坏神雷	Lục Khí Bất Hoại Thần Lôi
东华覆天咒	Đông Hoa Phúc Thiên Chú
崩天卷	Băng Thiên quyển
沃野	Ốc Dã
丙丁咒神秘诀	Bí Quyết Chú Thần Bính Đinh
大日急诵经	Đại Nhật Cấp Tụng Kinh
赤日归祖宝典	Bảo Điển Quy Tổ Xích Nhật
玄关咒神	Huyền Quan Chú Thần
嵩山归藏	Tùng Sơn Quy Tàng
清心纪要	Thanh Tâm Kỷ Yếu
清心神功	Thanh Tâm Thần Công
决意密卷	Quyết Ý Mật Quyển
天火决意秘法	Thiên Hỏa Quyết Ý Bí Pháp
忘情辟谷要诀	Vong Tình Bế Quan Yêu Quyết
太乙辟谷神功	Thái Ất Tịch Cốc Thần Công
燃魂辟谷秘传	Nhiên Hồn Tịch Cốc Bí Truyền
六壬神算	Lục Nhâm Thần Toán
过去庄严落花咒	Quá Khứ Trang Nghiêm Lạc Hoa Chú
玄金金刚真言	Chân Ngôn Kim Cương Huyền Kim
归藏九卷	Quy Tàng Chín Quyển
五内咒神秘诀	Ngũ Tạng Chú Thần Bí Quyết
入道妙手秘法	Nhập Đạo Diệu Thủ Bí Pháp
御气鬼手通卷	Ngự Khí Quỷ Thủ thông quyển
三才神佑密卷	Tam Tài Thần Hữu Mật Quyển
赤霄宫沃野秘要	Xích Tiêu Cung Ốc Dã Bí Yếu
斩天神视经	Trảm Thiên Thần Thị Kinh
御神通慧典	Ngự Thần Thông Huệ Điển
辛金合一	Tân kim Hợp nhất
玄金决意纪要	Huyền Kim Quyết Ý Ký Yếu
沃野丹方	Ốc D野 Đan Phương
飞星真言	Phi Tinh Chân Ngôn
己土回魂咒	Chú Kỷ Thổ Hồi Hồn
微草陨星诀	Vi Thảo Vẫn Tinh Quyết
万里合一	Vạn Lý Hợp Nhất
炎神殿咒神秘诀	Khẩu Quyết Chú Thần Viêm Thần Điện
五戒崩天	Ngũ Giới Băng Thiên
新境归藏卷	Tân Cảnh Quy Tàng Quyển
地龙辟谷秘诀	Bí Quyết Địa Long Tịch Cốc
归真破灭秘诀	Quy Chân Phá Diệt Bí Quyết
合一书	Hợp Nhất
通慧秘法	Thông huệ Bí pháp
佛心书	Phật Tâm Thư
黄芽通慧记	Hoàng Nha Thông Tuệ ký
彻法沃野宝册	Triệt Pháp Dã Bảo Quyển
入道鲸吞	Nhập Đạo Kình Thôn
华山神佑册	Hoa Sơn Thần Hựu Sách
六气神佑宝典	Bảo Điển Lục Khí Thần Hựu
地龙饕餮	Địa Long Thao Thiết
回春咒	Hồi Xuân chú
逆浪陨星神雷	Nghịch Lãng Vẫn Tinh Thần Lôi
急诵密卷	Cấp Tụng Mật Quyển
崩天九卷	Băng Thiên Chín Quyển
归藏宝典	Quy Tàng Bảo Điển
多宝	Đa Bảo
金丹通慧书	Kim Đan Thông Tuệ thư
入道鬼手	Nhập Đạo Quỷ Thủ
彻法多宝宝册	Triệt Pháp Đa Bảo Bảo Sách
太阴锻体	Thái Âm Đoán Thể
少阴锻体	Thiếu Âm Đoán Thể
玄阴锻体	Huyền Âm Đoán Thể
神行术	Thần Hành Thuật
瞬形法	Thuấn Hình Pháp
九州大法	Cửu Châu Đại Pháp
辟邪真法	Tị Tà Chân Pháp
幽剑	U Kiếm
地母玄经	Địa Mẫu Huyền Kinh
摄神御鬼大法	Nhiếp Thần Ngự Quỷ Đại Pháp
九幽炼神	Cửu U Luyện Thần
尘暴术	Trần Bạo Thuật
八极炼形诀	Bát Cực Luyện Hình Quyết
灵视神观	Linh Thị Thần Quan
太虚元罡	Thái Hư Nguyên Cương
太虚神盾	Thái Hư Thần Thuẫn
瞬霎诀	Thuấn Sát Quyết
太阴诀	Thái Âm Quyết
少阴诀	Thiếu Âm Quyết
玄阴诀	Huyền Âm Quyết
渊狱诀	Uyên Ngục Quyết
幽狱诀	U Ngục Quyết
通幽秘传	Thông u bí truyền
坤元真气	Khôn Nguyên Chân Khí
厚德篇	Hậu Đức Thiên
虚空谒神法	Hư Không Nghệ Thần Pháp
坏灭诀	Hoại Diệt Quyết
一剑	Nhất Kiếm
秘宝：一剑	Bí Bảo: Nhất Kiếm
丙火圆转剑	Kiếm Fervent Viên Chuyển
五方真言	Ngũ Phương Chân Ngôn
朱雀不朽真言	Chu Tước Bất Hủ Chân Ngôn
凌霄天星	Linh Tiêu Thiên Tinh
迅击七式	Tấn Kích Bảy Thức
蓄神十式	Trữ Thần Thập Thức
黄芽圆转十式	Thập Thức Viên Chuyển Hoàng Nha
辟谷神功	Thần Công Tịch Cốc
朱雀神佑记	Ký Thần Hộ Chu Tước
黄庭气摄神功	Hoàng Đình Khí Nhiếp Thần Công
金丹佛心	Kim Đan Phật Tâm
入道饕餮	Nhập Đạo Thao Thiết
化形神农宝册	Hóa Hình Thần Nông Bảo Sách
太乙鲸吞	Thái Ất Kình Thôn
五印刻神	Ngũ Ấn Khắc Thần
天魔舞	Thiên Ma Vũ
六气九极咒	Lục Khí Cửu Cực Chú
真丹妙手药典	Chân Đơn Diệu Thủ Dược Điển
苍龙多宝纲要	Cương yếu Đa Bảo Thanh Long
苍木妙手宝册	Bảo Sách Diệu Thủ Thương Mộc
忘情多宝宝典	Bảo Điển Đa Bảo Vong Tình
寒月琢玉密卷	Hàn Nguyệt Trác Ngọc Mật Quyển
金雷落花真言	Kim Lôi Lạc Hoa Chân Ngôn
初解金刚	Giải thích Kim Cang sơ cấp
震雷金刚真言	Chấn Lôi Kim Cương Chân Ngôn
千钧秘诀	Bí quyết thiên quân
蓄神	Súc Thần
圆转	Viên Chuyển
天金坤元宝典	Thiên Kim Khôn Nguyên Bảo Điển
道基混元	Đạo cơ Hỗn nguyên
少林坤元七式	Bảy Thức Khôn Nguyên Thiếu Lâm
归祖	Quy Tổ
御气百炼纲要	Cương yếu Bách Luyện Ngự Khí
邢氏归祖秘要	Hình Thị Quy Tổ Bí Yếu
震雷清心秘传	Bí Truyền Thanh Tâm Chấn Lôi
断岳鲸吞神功	Đoạn Nhạc Kình Thôn Thần Công
御神琢玉秘要	Ngự Thần Trác Ngọc bí yếu
忘情神佑记	Vong Tình Thần Hựu Ký
星辰气摄经	Tinh Thần Khí Nhiếp kinh
白帝宫迅击剑	Bạch Đế Cung Tấn Kích Kiếm
镇神真言	Trấn Thần Chân Ngôn
牟家镇神诀	Mâu Gia Trấn Thần Quyết
微草流光	Vi Thảo Lưu Quang
太乙震地	Thái Ất Chấn Địa
归藏	Quy Tàng
咒神要诀	Chú Thần Yếu Quyết
勾陈急诵秘法	Câu Thần Cấp Tụng bí pháp
赤霄宫归藏宝典	Xích Tiêu Cung Quy Tàng Bảo Điển
辛金急诵秘诀	Bí Quyết Cấp Tụng Tân Kim
断岳咒神	Đoạn Nhạc Chú Thần
庚辛崩天秘要	Canh Tân Băng Thiên Bí Yếu
庚辛鲸吞纪要	Canh Tân Kình Thôn Kỷ Yếu
百炼密卷	Bách Luyện Mật Quyển
神视秘要	Thần Thị Bí yếu
霹雳神佑要诀	Phích Lịch Thần Hữu Yêu Quyết
辛金多宝宝册	Tân Kim Đa Bảo bảo sách
白虎多宝宝册	Bạch Hổ Đa Bảo Bảo Sách
真丹摄神典	Chân Đan Nhiếp Thần Điển
长生饕餮神功	Trường Sinh Thao Thiết Thần Công
霹雳妙手秘要	Phích Lịch Diệu Thủ bí yếu
分神之术	Phân Thần Chi Thuật
道基不朽	Đạo Cơ Bất Hủ
坤元秘诀	Bí Quyết Khôn Nguyên
圆转要诀	Yếu Quyết Viên Chuyển
琢玉宝典	Trác Ngọc Bảo điển
黄庭琢玉	Hoàng Đình Trác Ngọc
阴阳琢玉宝册	Bảo Sách Trác Ngọc Âm Dương
甘霖术	Cam Lâm Thuật
五方	Ngũ Phương
圆转秘诀	Viên Chuyển Bí Quyết
混元	Hỗn nguyên.
蜀山坤元剑诀	Thục Sơn Khôn Nguyên Kiếm Quyết
真丹迅影剑诀	Chân Đan Tấn Ảnh Kiếm Quyết
玄机圆转秘法	Huyền Cơ Viên Chuyển Bí Pháp
金雷曳影秘诀	Kim Lôi Dạ Ảnh bí quyết
辛金蓄神秘诀	Tân Kim Túc Thần Bí Quyết
百炼秘要	Bách Luyện Bí Yếu
金雷决意要诀	Kim Lôi Quyết Ý Yếu Quyết
真丹琢玉通卷	Chân Đan Trác Ngọc Thông Quyển
知节合一典	Tri Tiết Hợp Nhất Điển
玄机多宝密卷	Huyền Cơ Đa Bảo Mật Quyển
六气金钟真言	Lục Khí Kim Chung Chân Ngôn
燃魂不朽神雷	Nhiên Hồn Bất Hủ Thần Lôi
朱雀震地诀	Chu Tước Chấn Địa Quyết
金刚经	Kim Cương kinh
金刚密卷	Kim Cương Mật Quyển
初解奠基经	Sơ Giải Điển Cơ Kinh
武当金刚密卷	Võ Đang Kim Cương Mật Quyển
颛孙斌上仙奠基秘册	Bí tịch Định Cơ của Thượng Tiên Chuyên Tôn Bân
居紫雪上仙奠基秘册	Thượng Tiên Cư Tử Tuyết Điền Cơ Bí Sách
奔烈奠基经	Bôn Liệt Điện Cơ Kinh
归祖神功	Thần Công Quy Tổ
焚日清心	Phật Nhật Tịnh Tâm
知节摄神典	Điển Nhiếp Thần Tri Tiết
阴阳通慧	Âm Dương Thông Tuệ
入道多宝秘传	Nhập Đạo Đa Bảo Bí Truyền
玄机神视纪要	Huyền Cơ Thần Thị Ký Yếu
真武录	Chân Võ Lục
司南经	Tư Nam Kinh
洞心咒	Động Tâm Chú
天枢诀	Thiên Xu Quyết
天枢剑意	Thiên Xu Kiếm Ý
秘宝：天枢剑	Bí Bảo: Thiên Xu Kiếm
天璇诀	Thiên Tuyền Quyết
天璇剑意	Thiên Tuyền Kiếm Ý
秘宝：天璇剑	Bí Bảo: Thiên Tuyền Kiếm
天玑诀	Thiên Cơ Quyết
天玑剑意	Thiên Cơ Kiếm Ý
秘宝：天玑剑	Bí Bảo: Thiên Cơ Kiếm
天权诀	Thiên Quyền Quyết
天权剑意	Thiên Quyền Kiếm Ý
秘宝：天权剑	Bí Bảo: Thiên Quyền Kiếm
玉衡诀	Ngọc Hành Quyết
玉衡剑意	Ngọc Hành Kiếm Ý
秘宝：玉衡剑	Bí Bảo: Ngọc Hành Kiếm
开阳诀	Khai Dương Quyết
开阳剑意	Khai Dương Kiếm Ý
秘宝：开阳剑	Bí Bảo: Khai Dương Kiếm
摇光诀	Dao Quang Quyết
摇光剑意	Dao Quang Kiếm Ý
秘宝：摇光剑	Bí Bảo: Dao Quang Kiếm
劫心咒	Kiếp Tâm Chú
赦心咒	Xá Tâm Chú
雷暴术	Lôi Bạo Thuật
北斗剑界	Bắc Đẩu Kiếm Giới
星斗之眼	Mắt Sao Đẩu
北斗绝式-七星诀	Bắc Đẩu Tuyệt Thức-Thất Tinh Quyết
北斗绝式-北极剑	Bắc Đẩu Tuyệt Thức-Bắc Cực Kiếm
北斗绝式-归一剑	Bắc Đẩu Tuyệt Thức-Quy Nhất Kiếm
御气混元秘诀	Ngự Khí Hỗn Nguyên Bí Quyết
碧光开天神雷	Bích Quang Khai Thiên Thần Lôi
金刚秘法	Kim Cương Bí Pháp
南海迅击	Nam Hải Tấn Kích
决意纪要	Ký yếu quyết ý
神龟秘传	Thần Quy Bí Truyền
苍木百炼密卷	Thương Mộc Bách Luyện Mật Quyển
阴阳合一书	Âm Dương Hợp Nhất Thư
真丹鬼手秘法	Chân Đan Quỷ Thủ Bí Pháp
东海气摄秘传	Đông Hải Khí Nhiếp Bí Truyền
暴雨术	Bạo Vũ Thuật
归源清心	Quy Nguyên Thanh Tâm
壬水镇神咒	Chú Cascade Trấn Thần
白帝宫金刚宝典	Bạch Đế Cung Kim Cang Bảo Điển
归源琢玉	Quy Nguyên Trác Ngọc
赤霄宫辟谷经	Xích Tiêu cung Tịch Cốt kinh
壬水鲸吞神功	Cascade Kình Thốn thần công
百草阁清心秘传	Bách Thảo Các Thanh Tâm Bí Truyền
未来星宿万古秘要	Tương Lai Tinh Túc Vạn Cổ Bí Yếu
冷月合一宝典	Bảo Điển Hợp Nhất Hàn Nguyệt
焚风术	Phần Phong Thuật
腾岳化伤咒	Đằng Nhạc Hóa Thương Chú
麒麟流光真言	Kỳ Lân Lưu Quang Chân Ngôn
奠基秘法	Bí pháp Đặt nền
金刚	Kim Cương
逯氏奠基经	Kinh Điện Cơ Họ Lục
多宝秘传	Đa Bảo Bí Truyền
麒麟多宝纲要	Kỳ Lân Đa Bảo Cương Yếu
腾岳清心秘传	Đằng Nhạc Thanh Tâm Bí Truyền
彻法万古纪要	Triệt Pháp Vạn Cổ Ký Yếu
大日多宝纲要	Đại Nhật Đa Bảo Cương Yếu
地龙合一要诀	Địa Long Hợp Nhất Yếu Quyết
麒麟多宝	Kỳ lân Đa Bảo
腾岳百炼宝册	Đằng Nhạc Bách Luyện Bảo Sách
长生飞星神雷	Thần Lôi Phi tinh Trường Sinh
五气诀	Quyết Ngũ Khí
流光神雷	Lưu Quang Thần Lôi
崩天	Băng Thiên
归藏秘要	Quy Tàng Bí Yếu
御气神农要诀	Ngự Khí Thần Nông Yêu Quyết
多宝宝典	Đa Bảo Bảo Điển
乙木鬼手	Yêu Quyết Quỷ Thủ
万木鲸吞	Vạn Mộc Kình Thôn
化形百炼纲要	Hóa Hình Bách Luyện Cương Yếu
真丹神农	Chân Đan Thần Nông
紫薇琢玉宝册	Tử Vi Trác Ngọc Bảo Quyển
紫霄万古纪要	Tử Tiêu Vạn Cổ Ký Yếu
五台琢玉通卷	Ngũ Đài Trác Ngọc Thông Quyển
南海蓄神剑诀	Nam Hải Trúc Thần Kiếm Quyết
镇岳蓄神秘要	Trấn Nhạc Trữ Thần bí yếu
阴阳清心	Âm Dương Thanh Tâm
玄关决意	Huyền Quan Quyết Ý
炎神殿百炼纲要	Viêm Thần Điện Bách Luyện Cương Yếu
星辰鬼手秘法	Tinh Thần Quỷ Thủ Bí Pháp
戊己决意	Grim Kỷ quyết ý
行疆决意秘传	Hành Cương Quyết Ý Bí Truyền
蓄神七式	Thất Thức Tích Thần
甘霖	Cam Lâm
黄芽不坏咒	Hoàng Nha Bất Hoại Chú
黄庭金刚	Hoàng Đình Kim Cương
五戒金刚经	Kinh Kim Cương Ngũ Giới
