房间	Phòng
日初之时，<font color=MYCOLOR>姜龙</font>一个人<font color=OBJCOLOR>读书品卷</font>，突然思绪万千。	Lúc bình minh, <font color=MYCOLOR>Khương Long</font> một mình <font color=OBJCOLOR>Đọc sách thưởng thức quyển</font>, đột nhiên bao suy nghĩ dâng trào.
23天 07:26	23 ngày 07:26
月上柳梢，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>读书品卷</font>时，突然流下眼泪。	Trăng lên ngọn liễu, <font color=MYCOLOR>Khương Long</font> khi đang <font color=OBJCOLOR>Đọc sách thưởng thức quyển</font> bỗng rơi nước mắt.
24天 21:05	24 ngày 21:05
湿地之上，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>随便看看</font>时，突然很想家。	Trên đất ẩm, <font color=MYCOLOR>Giang Long</font> khi đang <font color=OBJCOLOR>xem qua</font>, bỗng thấy nhớ nhà.
25天 17:03	25 ngày 17:03
晴空万里，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>看天花板</font>时，突然流下眼泪。	Trời quang mây tạnh, <font color=MYCOLOR>Khương Long</font> đang <font color=OBJCOLOR>nhìn trần nhà</font> bỗng rơi nước mắt.
26天 04:22	26 ngày 04:22
门派中，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>奏乐</font>时，突然很想家。	Trong môn phái, <font color=MYCOLOR>Khương Long</font> khi đang <font color=OBJCOLOR>chơi nhạc</font> bỗng rất nhớ nhà.
26天 17:46	26 ngày 17:46
<font color=MYCOLOR>姜龙</font>因<font color=OBJCOLOR>合适的衣装</font>心情不错，忍不住来<font color=OBJCOLOR>奏乐</font>抒怀。	<font color=MYCOLOR>Khương Long</font> vì <font color=OBJCOLOR>Trang Phục Phù Hợp</font> mà tâm trạng vui vẻ, không nhịn được đến <font color=OBJCOLOR>Chơi Nhạc</font> để giãi bày.
27天 13:13	27 ngày 13:13
日昳时分，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>读书品卷</font>时，突然想吃<font color=OBJCOLOR>狼肉</font>。	Giờ Nhật Mật, <font color=MYCOLOR>Khương Long</font> đang <font color=OBJCOLOR>đọc sách thưởng thức quyển</font> thì đột nhiên muốn ăn <font color=OBJCOLOR>thịt sói</font>.
28天 14:55	28 ngày 14:55
日昳时分，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>奏乐</font>时，突然觉得旁边的<font color=OBJCOLOR>野草</font>很有意思……	Khi chiều nghiêng, <font color=MYCOLOR>Khương Long</font> đang <font color=OBJCOLOR>chơi nhạc</font> thì đột nhiên nhận ra <font color=OBJCOLOR>cỏ dại</font> bên cạnh rất thú vị……
31天 14:22	31 ngày 14:22
<font color=MYCOLOR>姜龙</font>被<font color=OBJCOLOR>有点热</font>的情绪困扰，只能<font color=OBJCOLOR>奏乐</font>来放空心灵。	<font color=MYCOLOR>Giang Long</font> bị <font color=OBJCOLOR>hơi nóng</font> làm phiền, chỉ có thể <font color=OBJCOLOR>chơi nhạc</font> để thả lòng tâm trí.
32天 10:58	32 ngày 10:58
33天 15:54	33 ngày 15:54
万里无云，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>看天花板</font>时，突然流下眼泪。	Vạn Lý không mây, <font color=MYCOLOR>Khương Long</font> đang <font color=OBJCOLOR>nhìn trần nhà</font> bỗng rơi nước mắt.
34天 18:38	34 ngày 18:38
东方渐白，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>奏乐</font>时，突然觉得旁边的<font color=OBJCOLOR>杨树</font>很有意思……	Phương Đông dần sáng, <font color=MYCOLOR>Khương Long</font> đang <font color=OBJCOLOR>chơi nhạc</font>, bỗng thấy <font color=OBJCOLOR>cây bạch dương</font> bên cạnh rất thú vị……
36天 03:20	36 ngày 03:20
晴空万里，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>奏乐</font>时，突然觉得旁边的<font color=OBJCOLOR>灵晶墙</font>很有意思……	Trời quang mây tạnh, <font color=MYCOLOR>Khương Long</font> đang <font color=OBJCOLOR>chơi nhạc</font> thì bỗng thấy <font color=OBJCOLOR>tường tinh linh</font> bên cạnh rất thú vị..
37天 19:07	37 ngày 19:07
日中之时，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>凝神望天</font>时，突然想吃<font color=OBJCOLOR>面粉</font>。	Giờ Ngọ, <font color=MYCOLOR>Khương Long</font> đang <font color=OBJCOLOR>ngắm trời</font> thì đột nhiên muốn ăn <font color=OBJCOLOR>bột mì</font>.
38天 12:03	38 ngày 12:03
天朗气清，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>奏乐</font>时，突然觉得很气闷。	Trời quang mây tạnh, <font color=MYCOLOR>Giang Long</font> khi đang <font color=OBJCOLOR>chơi nhạc</font>, bỗng cảm thấy ngột ngạt.
39天 09:31	39 ngày 09:31
晴空万里，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>奏乐</font>时，突然觉得莫名烦躁。	Trời vạn lý trong xanh, <font color=MYCOLOR>Khương Long</font> đang <font color=OBJCOLOR>chơi nhạc</font> bất chợt cảm thấy bực bội khó hiểu.
39天 10:29	39 ngày 10:29
<font color=MYCOLOR>姜龙</font>因<font color=OBJCOLOR>宛如仙境</font>心情不错，忍不住来<font color=OBJCOLOR>看天花板</font>抒怀。	<font color=MYCOLOR>Giang Long</font> vì <font color=OBJCOLOR>tựa như tiên cảnh</font> tâm trạng vui vẻ, không nhịn được đến <font color=OBJCOLOR>nhìn trần nhà</font> để trút lòng.
39天 22:33	39 ngày 22:33
晴空万里，<font color=MYCOLOR>姜龙</font>一个人<font color=OBJCOLOR>看天花板</font>，突然思绪万千。	Trời Vạn Lý không gợn mây, <font color=MYCOLOR>Khương Long</font> một mình <font color=OBJCOLOR>Nhìn trần nhà</font>, đột nhiên bao suy nghĩ dâng trào.
40天 00:57	40 ngày 00:57
日夕之刻，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>奏乐</font>时，突然觉得旁边的<font color=OBJCOLOR>寒精观星台</font>很有意思……	Vào lúc hoàng hôn, <font color=MYCOLOR>Khương Long</font> đang <font color=OBJCOLOR>chơi nhạc</font> thì đột nhiên cảm thấy <font color=OBJCOLOR>Đài Quan Tinh Tinh hàn yêu</font> bên cạnh rất thú vị…
40天 19:28	40 ngày 19:28
未时，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>读书品卷</font>时，突然觉得旁边的<font color=OBJCOLOR>灵晶墙</font>很有意思……	Vào giờ Mùi, <font color=MYCOLOR>Khương Long</font> đang <font color=OBJCOLOR>đọc sách thưởng thức quyển</font> thì bỗng thấy <font color=OBJCOLOR>tường tinh linh</font> bên cạnh rất thú vị..
42天 13:08	42 ngày 13:08
42天 18:32	42 ngày 18:32
门派中，<font color=MYCOLOR>姜龙</font>静静的<font color=OBJCOLOR>奏乐</font>，突然想起自己的<font color=OBJCOLOR>妻子赏寄瑶</font>。	Trong môn phái, <font color=MYCOLOR>Khương Long</font> lặng lẽ <font color=OBJCOLOR>chơi nhạc</font>, chợt nhớ tới <font color=OBJCOLOR>phu nhân Ký Dao</font>.
43天 09:52	43 ngày 09:52
三更时分，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>奏乐</font>时，突然觉得很气闷。	Giờ canh ba, <font color=MYCOLOR>Khương Long</font> đang <font color=OBJCOLOR>chơi nhạc</font> bỗng cảm thấy ngột ngạt.
48天 00:42	48 ngày 00:42
<font color=MYCOLOR>姜龙</font>因<font color=OBJCOLOR>心境圆润</font>心情不错，忍不住来<font color=OBJCOLOR>奏乐</font>抒怀。	<font color=MYCOLOR>Khương Long</font> vì <font color=OBJCOLOR>Tâm cảnh viên mãn</font> tâm trạng tốt, không nhịn được đến <font color=OBJCOLOR>chơi nhạc</font> để bày tỏ nỗi lòng.
48天 03:35	48 ngày 03:35
午时，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>奏乐</font>时，突然流下眼泪。	Giờ Ngọ, <font color=MYCOLOR>Giang Long</font> khi đang <font color=OBJCOLOR>chơi nhạc</font> bỗng nhiên rơi lệ.
48天 11:23	48 ngày 11:23
日初之时，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>凝神望天</font>时，突然流下眼泪。	Lúc rạng đông, <font color=MYCOLOR>Khương Long</font> khi đang <font color=OBJCOLOR>Ngưng thần nhìn trời</font> bỗng rơi nước mắt.
49天 08:32	49 ngày 08:32
傍晚时分，<font color=MYCOLOR>姜龙</font>一个人<font color=OBJCOLOR>看天花板</font>，突然思绪万千。	Lúc hoàng hôn, <font color=MYCOLOR>Khương Long</font> một mình <font color=OBJCOLOR>Nhìn trần nhà</font>, đột nhiên bao suy nghĩ dâng trào.
49天 17:09	49 ngày 17:09
万里无云，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>观云卷云舒</font>时，突然发出一声长叹。	Vạn lý vô vân, <font color=MYCOLOR>Khương Long</font> khi <font color=OBJCOLOR>quan sát mây cuộn mây tan</font> bỗng phát ra một tiếng thở dài.
51天 10:42	51 ngày 10:42
52天 05:30	52 ngày 05:30
姜	Khương
龙	Long
师父	Sư phụ
赏	Thưởng
寄瑶	Ký Dao
思淼	Tư Miểu
申	Thân
语琴	Ngữ Cầm
保	Bảo
建	Kiến
百里	Bách Lý
眉	Mi
落木尊者	Tôn Giả Lạc Mộc
回春尊者	Tôn giả Hồi Xuân
结丹下品！	Kết Đan Hạ Phẩm!
晴空万里，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>凝神望天</font>时，突然流下眼泪。	Trời quang mây tạnh, <font color=MYCOLOR>Bách Lý Mi</font> đang <font color=OBJCOLOR>Ngưng thần nhìn trời</font>, đột nhiên rơi lệ.
7天 18:34	7 ngày 18:34
<font color=MYCOLOR>百里眉</font>被<font color=OBJCOLOR>需要武器</font>的情绪困扰，只能<font color=OBJCOLOR>赏月</font>来放空心灵。	<font color=MYCOLOR>Bách Lý</font> bị cảm xúc <font color=OBJCOLOR>cần vũ khí</font> làm phiền, chỉ có thể <font color=OBJCOLOR>ngắm trăng</font> để không tâm.
7天 22:50	7 ngày 22:50
夜深之时，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>跳舞</font>时，脑海中突然浮现<font color=OBJCOLOR>姜龙</font>的模样。	Đêm khuya, <font color=MYCOLOR>Bách Lý My</font> khi <font color=OBJCOLOR>nhảy múa</font>, trong đầu đột nhiên hiện lên hình ảnh <font color=OBJCOLOR>Khương Long</font>.
10天 23:05	10 ngày 23:05
晨光初露，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>奏乐</font>时，突然觉得旁边的<font color=OBJCOLOR>灵晶墙</font>很有意思……	Sáng sớm tinh mơ, <font color=MYCOLOR>Bách Lý Mi</font> đang <font color=OBJCOLOR>chơi nhạc</font> bỗng thấy bức <font color=OBJCOLOR>tường tinh linh</font> bên cạnh rất thú vị..
13天 05:52	13 ngày 05:52
日暮时分，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>跳舞</font>时，不小心扭了一下脚。	Lúc hoàng hôn, <font color=MYCOLOR>Bách Lý Mi</font> khi đang <font color=OBJCOLOR>Nhảy múa</font> không may bị trẹo chân.
13天 20:43	13 ngày 20:43
晴空万里，<font color=MYCOLOR>百里眉</font>静静的<font color=OBJCOLOR>跳舞</font>，突然想起自己的<font color=OBJCOLOR>母亲颛孙眸微</font>。	Trời quang mây tạnh, <font color=MYCOLOR>Bách Lý Mi</font> lặng lẽ <font color=OBJCOLOR>nhảy múa</font>, chợt nhớ đến <font color=OBJCOLOR>mẹ mình Chuyên Tôn Mâu Vi</font>.
14天 11:50	14 ngày 11:50
四更时分，<font color=MYCOLOR>百里眉</font>静静的<font color=OBJCOLOR>跳舞</font>，突然想起自己的<font color=OBJCOLOR>母亲颛孙眸微</font>。	Vào canh tư, <font color=MYCOLOR>Bách Lý Mi</font> lặng lẽ <font color=OBJCOLOR>nhảy múa</font>, chợt nhớ đến <font color=OBJCOLOR>mẹ mình Chuyên Tôn Mâu Vi</font>.
15天 02:39	15 ngày 02:39
天朗气清，<font color=MYCOLOR>百里眉</font>一个人<font color=OBJCOLOR>奏乐</font>，突然思绪万千。	Trời quang mây tạnh, <font color=MYCOLOR>Bách Lý Mi</font> một mình <font color=OBJCOLOR>chơi nhạc</font>, bỗng suy nghĩ ngổn ngang.
15天 11:20	15 ngày 11:20
门派中，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>奏乐</font>时，忍不住轻声和唱了起来。	Trong môn phái, <font color=MYCOLOR>Bách Lý Mi</font> khi <font color=OBJCOLOR>chơi nhạc</font>, không nhịn được khẽ hát theo.
17天 05:51	17 ngày 05:51
浮躁的气氛中，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>看天花板</font>时，突然发出一声长叹。	Trong bầu không khí bồn chồn, <font color=MYCOLOR>Bách Lý My</font> đang <font color=OBJCOLOR>nhìn trần nhà</font> bất chợt thở dài một hơi.
17天 07:31	17 ngày 07:31
浮躁的气氛中，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>读书品卷</font>时，突然觉得莫名烦躁。	Trong bầu không khí bồn chồn, <font color=MYCOLOR>Bách Lý My</font> đang <font color=OBJCOLOR>đọc sách thưởng thức quyển</font> bất chợt cảm thấy bồn chồn khó hiểu.
17天 09:41	17 ngày 09:41
晴空万里，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>奏乐</font>时，脑海中突然浮现<font color=OBJCOLOR>董之柔</font>的模样。	Trời trong xanh vạn lý, <font color=MYCOLOR>Bách Lý Mi</font> đang <font color=OBJCOLOR>chơi nhạc</font> thì bỗng hiện lên hình ảnh <font color=OBJCOLOR>Đổng Chi Nhu</font> trong đầu.
18天 10:02	18 ngày 10:02
门派中，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>看天花板</font>时，突然想去<font color=OBJCOLOR>中原</font>看看。	Trong môn phái, <font color=MYCOLOR>Bách Lý Mi</font> khi đang <font color=OBJCOLOR>Nhìn trần nhà</font>, bỗng muốn đi đến <font color=OBJCOLOR>Trung Nguyên</font> xem thử.
19天 18:34	19 ngày 18:34
万里无云，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>跳舞</font>时，不小心踢到了旁边的<font color=OBJCOLOR>灵石墙</font>。	Trời không một gợn mây, <font color=MYCOLOR>Bách Lý My</font> đang <font color=OBJCOLOR>nhảy múa</font> thì vô tình đá phải <font color=OBJCOLOR>Linh thạch</font> bên cạnh.
20天 00:42	20 ngày 00:42
五更时分，<font color=MYCOLOR>百里眉</font>一个人<font color=OBJCOLOR>跳舞</font>，突然思绪万千。	Vào lúc canh năm, <font color=MYCOLOR>Bách Lý Mi</font> một mình <font color=OBJCOLOR>Nhảy múa</font>, đột nhiên nghĩ ngợi muôn vàn.
20天 03:19	20 ngày 03:19
日夕之刻，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>跳舞</font>时，突然想吃<font color=OBJCOLOR>猪肉饼</font>。	Giờ Nhật Tịch, <font color=MYCOLOR>Bách Lý Mi</font> đang <font color=OBJCOLOR>nhảy múa</font> thì đột nhiên muốn ăn <font color=OBJCOLOR>Trư Nhục Bính</font>.
20天 19:32	20 ngày 19:32
漫卷银屑中，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>跳舞</font>时，脑海中突然浮现<font color=OBJCOLOR>轩辕士</font>的模样。	Giữa làn bạc tung bay, <font color=MYCOLOR>Bách Lý My</font> đang <font color=OBJCOLOR>nhảy múa</font> thì trong đầu đột nhiên hiện lên hình ảnh của <font color=OBJCOLOR>Hiên Viên Sĩ</font>.
22天 18:56	22 ngày 18:56
门派中，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>看天花板</font>时，脑海中突然浮现<font color=OBJCOLOR>席信</font>的模样。	Trong môn phái, <font color=MYCOLOR>Bách Lý Mi</font> đang <font color=OBJCOLOR>nhìn trần nhà</font> thì bỗng hiện lên hình ảnh <font color=OBJCOLOR>Tịch Tín</font> trong đầu.
22天 19:39	22 ngày 19:39
万里无云，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>看天花板</font>时，突然觉得莫名烦躁。	Trời không gợn mây, <font color=MYCOLOR>Bách Lý Mi</font> đang <font color=OBJCOLOR>nhìn trần nhà</font> bỗng cảm thấy bồn chồn khó tả.
23天 19:06	23 ngày 19:06
黄昏时分，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>跳舞</font>时，突然流下眼泪。	Vào lúc hoàng hôn, <font color=MYCOLOR>Bách Lý Mi</font> khi <font color=OBJCOLOR>nhảy múa</font>, bỗng nhiên rơi nước mắt.
24天 19:10	24 ngày 19:10
天朗气清，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>看天花板</font>时，突然想去<font color=OBJCOLOR>万妖殿看看。	Trời quang mây tạnh, <font color=MYCOLOR>Bách Lý Mi</font> khi đang <font color=OBJCOLOR>nhìn trần nhà</font> đột nhiên muốn đến <font color=OBJCOLOR>Vạn Yêu Điện</font> xem qua.
26天 19:36	26 ngày 19:36
污泥之上，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>随便看看</font>时，脑海中突然浮现<font color=OBJCOLOR>轩辕士</font>的模样。	Trên bùn lầy, <font color=MYCOLOR>Bách Lý Mi</font> đang <font color=OBJCOLOR>xem qua</font> bỗng hình ảnh <font color=OBJCOLOR>Hiên Viên</font> hiện lên trong tâm trí.
28天 19:30	28 ngày 19:30
天朗气清，<font color=MYCOLOR>百里眉</font>静静的<font color=OBJCOLOR>奏乐</font>，突然想起自己的<font color=OBJCOLOR>徒弟姜龙</font>。	Trời quang mây tạnh, <font color=MYCOLOR>Bách Lý My</font> lặng lẽ <font color=OBJCOLOR>chơi nhạc</font>, bỗng nhớ đến <font color=OBJCOLOR>đệ tử Khương Long</font>.
29天 05:28	29 ngày 05:28
绿荫之下，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>随便看看</font>时，突然想吃<font color=OBJCOLOR>卤牛肉</font>。	Dưới bóng cây xanh, <font color=MYCOLOR>Bách Lý Mi</font> khi <font color=OBJCOLOR>xem qua</font>, đột nhiên muốn ăn <font color=OBJCOLOR>Lỗ Ngưu Nhục</font>.
29天 09:03	29 ngày 09:03
门派中，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>奏乐</font>时，突然觉得旁边的<font color=OBJCOLOR>灵晶墙</font>很有意思……	Trong môn phái, <font color=MYCOLOR>Bách Lý My</font> đang <font color=OBJCOLOR>chơi nhạc</font> thì đột nhiên cảm thấy bức tường <font color=OBJCOLOR>tinh linh</font> bên cạnh rất thú vị..
29天 15:30	29 ngày 15:30
华灯初上，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>暮观日落</font>时，突然觉得旁边的<font color=OBJCOLOR>梧桐木法座</font>很有意思……	Đèn hoa vừa lên, <font color=MYCOLOR>Bách Lý Mi</font> đang <font color=OBJCOLOR>Ngắm hoàng hôn</font> thì bỗng thấy <font color=OBJCOLOR>Pháp tọa ngô đồng thần mộc</font> bên cạnh rất thú vị……
29天 19:41	29 ngày 19:41
夜半时分，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>读书品卷</font>时，脑海中突然浮现<font color=OBJCOLOR>席信</font>的模样。	Nửa đêm, <font color=MYCOLOR>Bách Lý My</font> đang <font color=OBJCOLOR>đọc sách thưởng thức quyển</font> thì trong đầu đột nhiên hiện lên hình ảnh của <font color=OBJCOLOR>Tịch Tín</font>.
32天 23:03	32 ngày 23:03
绿荫之下，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>跳舞</font>时，突然觉得莫名烦躁。	Dưới bóng cây xanh, <font color=MYCOLOR>Bách Lý Mi</font> đang <font color=OBJCOLOR>nhảy múa</font>, đột nhiên cảm thấy bồn chồn khó hiểu.
34天 22:06	34 ngày 22:06
天朗气清，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>奏乐</font>时，突然觉得莫名烦躁。	Trời quang mây tạnh, <font color=MYCOLOR>Bách Lý Mi</font> khi đang <font color=OBJCOLOR>Chơi nhạc</font> bỗng thấy bồn chồn vô cớ.
35天 11:08	35 ngày 11:08
天朗气清，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>跳舞</font>时，不小心踢到了旁边的<font color=OBJCOLOR>寒精墙</font>。	Trời quang mây tạnh, <font color=MYCOLOR>Bách Lý My</font> đang <font color=OBJCOLOR>nhảy múa</font> thì vô tình đá phải <font color=OBJCOLOR>Tinh hàn yêu</font> bên cạnh.
35天 12:49	35 ngày 12:49
门派中，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>跳舞</font>时，突然觉得莫名烦躁。	Trong môn phái, <font color=MYCOLOR>Bách Lý Mi</font> khi đang <font color=OBJCOLOR>Nhảy múa</font> bỗng thấy bồn chồn vô cớ.
35天 17:04	35 ngày 17:04
酉时，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>看天花板</font>时，突然想吃<font color=OBJCOLOR>面粉</font>。	Giờ Dậu, <font color=MYCOLOR>Bách Lý My</font> đang <font color=OBJCOLOR>nhìn trần nhà</font> thì đột nhiên muốn ăn <font color=OBJCOLOR>bột mì</font>.
36天 17:41	36 ngày 17:41
星垂夜阔，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>随便看看</font>时，突然想去<font color=OBJCOLOR>紫霄宗看看。	Trời đêm sao rơi, <font color=MYCOLOR>Bách Lý Mi</font> khi đang <font color=OBJCOLOR>xem qua</font> đột nhiên muốn đến <font color=OBJCOLOR>Tử Tiêu Tông</font> xem.
37天 01:46	37 ngày 01:46
日斜心慵，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>奏乐</font>时，突然觉得莫名烦躁。	Ngày tà tâm nhàn, <font color=MYCOLOR>Bách Lý Mi</font> đang <font color=OBJCOLOR>chơi nhạc</font>, đột nhiên cảm thấy bồn chồn khó hiểu.
38天 13:06	38 ngày 13:06
39天 10:26	39 ngày 10:26
<font color=MYCOLOR>百里眉</font>被<font color=OBJCOLOR>需要武器</font>的情绪困扰，只能<font color=OBJCOLOR>奏乐</font>来放空心灵。	<font color=MYCOLOR>Bách Lý Mi</font> bị cảm xúc <font color=OBJCOLOR>Cần vũ khí</font> làm phiền, chỉ có thể <font color=OBJCOLOR>Chơi nhạc</font> để thả lỏng tâm hồn.
40天 00:25	40 ngày 00:25
<font color=MYCOLOR>百里眉</font>因<font color=OBJCOLOR>吉宅</font>心情不错，忍不住来<font color=OBJCOLOR>奏乐</font>抒怀。	<font color=MYCOLOR>Bách Lý Mi</font> vì <font color=OBJCOLOR>nhà lành</font> tâm trạng tốt, không nhịn được mà đi <font color=OBJCOLOR>chơi nhạc</font> để giãi bày.
40天 15:17	40 ngày 15:17
<font color=MYCOLOR>百里眉</font>因<font color=OBJCOLOR>宛如仙境</font>心情不错，忍不住来<font color=OBJCOLOR>奏乐</font>抒怀。	<font color=MYCOLOR>Bách Lý Mi</font> vì <font color=OBJCOLOR>tựa như tiên cảnh</font> tâm trạng tốt, không nhịn được mà đến <font color=OBJCOLOR>chơi nhạc</font> để giãi bày cảm xúc.
41天 18:09	41 ngày 18:09
万里无云，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>跳舞</font>时，突然很想家。	Vạn Lý không mây, <font color=MYCOLOR>Bách Lý My</font> khi đang <font color=OBJCOLOR>nhảy múa</font>, bỗng thấy nhớ nhà.
42天 10:50	42 ngày 10:50
<font color=MYCOLOR>百里眉</font>因<font color=OBJCOLOR>普通的景观</font>心情不错，忍不住来<font color=OBJCOLOR>奏乐</font>抒怀。	<font color=MYCOLOR>Bách Lý Mi</font> vì <font color=OBJCOLOR>Cảnh quan bình thường</font> nên tâm trạng rất tốt, không nhịn được phải <font color=OBJCOLOR>Chơi nhạc</font> để giãi bày tâm tư.
42天 18:28	42 ngày 18:28
崎岖山路上，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>跳舞</font>时，突然想去<font color=OBJCOLOR>邪帝陵</font>看看。	Trên đường núi gập ghềnh, <font color=MYCOLOR>Bách Lý</font> khi đang <font color=OBJCOLOR>nhảy múa</font>, đột nhiên muốn đến <font color=OBJCOLOR>Lăng Tà Đế</font> xem thử.
42天 22:09	42 ngày 22:09
晴空万里，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>奏乐</font>时，突然觉得旁边的<font color=OBJCOLOR>火铜床</font>很有意思……	Bầu trời sáng sủa, <font color=MYCOLOR>Bách Lý Mi</font> đang <font color=OBJCOLOR>chơi nhạc</font> bỗng cảm thấy chiếc <font color=OBJCOLOR>giường Hoả Đồng</font> bên cạnh rất thú vị..
43天 04:30	43 ngày 04:30
夜半时分，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>看天花板</font>时，突然想去<font color=OBJCOLOR>合欢派看看。	Đêm khuya, <font color=MYCOLOR>Bách Lý Mi</font> đang <font color=OBJCOLOR>Nhìn trần nhà</font>, bỗng muốn đến <font color=OBJCOLOR>Hợp Hoan Phái</font> xem thử.
43天 23:15	43 ngày 23:15
绿荫之下，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>跳舞</font>时，脑海中突然浮现<font color=OBJCOLOR>席信</font>的模样。	Dưới tán cây xanh, <font color=MYCOLOR>Bách Lý My</font> đang <font color=OBJCOLOR>nhảy múa</font>, hình bóng <font color=OBJCOLOR>Tịch Tín</font> bất chợt hiện lên trong tâm trí.
45天 22:03	45 ngày 22:03
<font color=MYCOLOR>百里眉</font>被<font color=OBJCOLOR>需要武器</font>的情绪困扰，只能<font color=OBJCOLOR>看天花板</font>来放空心灵。	<font color=MYCOLOR>Bách Lý My</font> bị cảm xúc <font color=OBJCOLOR>cần vũ khí</font> làm phiền, chỉ có thể <font color=OBJCOLOR>nhìn trần nhà</font> để thả lỏng tâm hồn.
46天 03:19	46 ngày 03:19
晴空万里，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>奏乐</font>时，突然想去<font color=OBJCOLOR>万妖殿看看。	Trời trong vắt, <font color=MYCOLOR>Bách Lý Mi</font> đang <font color=OBJCOLOR>Chơi nhạc</font>, bỗng muốn đến <font color=OBJCOLOR>Vạn Yêu Điện</font> xem thử.
46天 18:42	46 ngày 18:42
晴空万里，<font color=MYCOLOR>百里眉</font>静静的<font color=OBJCOLOR>看天花板</font>，突然想起自己的<font color=OBJCOLOR>父亲百里西岭</font>。	Trời quang đãng, <font color=MYCOLOR>Bách Lý</font> lặng lẽ <font color=OBJCOLOR>nhìn trần nhà</font>, bỗng nhớ đến <font color=OBJCOLOR>cha Bách Lý Tây Lĩnh</font> của mình.
47天 12:21	47 ngày 12:21
门派中，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>看天花板</font>时，突然想吃<font color=OBJCOLOR>熊肉</font>。	Trong môn phái, <font color=MYCOLOR>Bách Lý Mi</font> đang <font color=OBJCOLOR>nhìn trần nhà</font> thì đột nhiên muốn ăn <font color=OBJCOLOR>thịt gấu</font>.
48天 03:36	48 ngày 03:36
门派中，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>奏乐</font>时，突然很想家。	Trong môn phái, <font color=MYCOLOR>Bách Lý Mi</font> trong lúc <font color=OBJCOLOR>Chơi nhạc</font>, đột nhiên rất nhớ nhà.
48天 13:00	48 ngày 13:00
