Key	Value
开垦农田	Khai hoang đất nông nghiệp
上	Trên
种植	Trồng trọt
暂无数据	Tạm thời chưa có dữ liệu
在手工时，正快乐的哼着小调	Khi làm thủ công, đang vui vẻ ngân nga một giai điệu nhỏ
{0}\n倍率：{1:N2}	{0}\nHệ số: {1:N2}
不能用来炼宝	Không thể dùng để luyện bảo
埋葬这个尸体，需要选择一个空闲的墓地。	Chôn cất thi thể này, cần chọn một ngôi mộ trống.
刚在修行时走了走神	Vừa lơ đãng trong lúc luyện tập
神修在心境为“寂”时，心境只有在心绪低于100时才会增加。心绪越低，增加速度越快。反之则会减少。	Khi tâm trạng của thần tu là "Tịch", tâm trạng chỉ tăng khi tâm tư dưới 100. Tâm tư càng thấp, tốc độ tăng càng nhanh. Ngược lại sẽ giảm.
深岩邪咒	Chú ngữ sâu đáy
{0}\n基础值: {1}\n提升率：{2:P3}\n额外加值：{3}	{0}\nGiá trị cơ bản: {1}\nTỷ lệ tăng: {2:P3}\nGiá trị thêm: {3}
维修:{0}	Sửa chữa: {0}
{0}没有收杆，鱼跑了	{0} không thu cần, cá đã chạy mất
门派人数已达上限，无法启智	Số lượng môn phái đã đạt giới hạn, không thể khai trí
回转门派	Quay về môn phái
灵淬次数：{0}次\n	Số lần linh luyện: {0} lần\n
移除:{0}	Loại bỏ: {0}
欲慧中求空，必须达圆满境后，在心斋之下保持心境500，且心绪低于10，持续{0:N1}天。	Muốn cầu không trong trí tuệ, cần đạt viên mãn, trong tâm trai giữ tâm trạng 500, và tâm tư dưới 10, duy trì {0:N1} ngày.
读取完成	Đọc hoàn tất
连接服务器失败,请检查网络后重启游戏再试!	Kết nối máy chủ thất bại, vui lòng kiểm tra mạng và khởi động lại trò chơi!
角色对外界的探查与反馈的能力，影响角色的视野，以及需要精细工作的效率等属性。	Khả năng thăm dò và phản hồi của nhân vật đối với thế giới bên ngoài, ảnh hưởng đến tầm nhìn của nhân vật, cũng như hiệu quả của các công việc đòi hỏi sự tỉ mỉ.
已将游戏ID复制到粘贴板中。	Đã sao chép ID trò chơi vào bảng tạm.
更换建筑原材料	Thay đổi nguyên liệu công trình
[{0}](禁止)	[{0}](Cấm)
以1000倍于白元法的灵气绘制本命真符，符咒效果提高3倍。	Dùng linh khí gấp 1000 lần pháp Bạch Nguyên để vẽ bản mệnh chân phù, hiệu quả bùa chú tăng gấp 3 lần.
购买失败,如果您已经完成了支付,请稍等后再次点击购买尝试补发。	Mua thất bại, nếu bạn đã hoàn thành thanh toán, vui lòng đợi một lát rồi nhấn mua lại để thử giao lại.
请选择要吃掉的材料	Vui lòng chọn vật liệu cần ăn
-复制	- Copy
种植区 ({0}格)	Khu trồng trọt ({0} ô)
开启灵智\n{0:P0}	Khai mở linh trí\n{0:P0}
[color=#FF0000]未指定堂主[/color]\n	[color=#FF0000]Chưa chỉ định đường chủ[/color]\n
查看小乾坤界内部，可手动取出其中物品。	Xem nội bộ tiểu càn khôn giới, có thể lấy thủ công vật phẩm bên trong.
寒冷	Lạnh giá
略有灵韵	Hơi có linh vận
历练次数：{0}次	Số lần trải nghiệm: {0} lần
系统用	Dùng cho hệ thống
炼体修行无法使用灵器\n	Luyện thể không thể sử dụng linh khí\n
选择需要讨论或者询问的话题	Chọn chủ đề cần thảo luận hoặc hỏi
防御成功\n尝试使用此秘体承担伤害时的成功几率。	Phòng thủ thành công\nTỷ lệ thành công khi cố gắng sử dụng bí thể này để chịu sát thương.
{1}{0:F2}/秒	{1}{0:F2}/giây
选择护法类型	Chọn loại hộ pháp
出身	Xuất thân
基础信息	Thông tin cơ bản
(等待被移动)	(Đang chờ được di chuyển)
领取成功	Nhận thành công
灵气:{0:N0}/{1:N0}\n灵气是施展内门行为的基础资源。\n角色会将信仰转化为灵气\n当前信仰：{2:F0}	Linh khí: {0:N0}/{1:N0}\nLinh khí là nguồn tài nguyên cơ bản để thực hiện các hành vi nội môn.\nNhân vật sẽ chuyển hóa tín ngưỡng thành linh khí\nTín ngưỡng hiện tại: {2:F0}
食物营养（{0}）	Dinh dưỡng thực phẩm ({0})
[temperature]{0:N0}[/temperature]至[temperature]{1:N0}[/temperature]	[temperature]{0:N0}[/temperature] đến [temperature]{1:N0}[/temperature]
思考	Suy ngẫm
抱歉，WeGame异常导致游戏即将退出。	Xin lỗi, sự cố WeGame khiến trò chơi sắp thoát ra.
凶宅	Nhà ma
快速增加	Tăng nhanh chóng.
精元：{0}\n	Tinh nguyên: {0}\n
\n修为：{0:N0}({1:N0})	\nTu vi: {0:N0}({1:N0})
此人现在对玄门奥义的积累不足，学习旁门心得对此人已经没有什么启发。\n	Người này hiện tại tích lũy về huyền môn áo nghĩa chưa đủ, học thêm tâm đắc môn phái khác không còn mang lại cảm hứng gì.
确定删除 {0} 吗？	Có chắc chắn xóa {0} không?
种植物	Trồng cây
图片(*.png;*.jpg)\0*.png;*.jpg	Hình ảnh (*.png;*.jpg)\0*.png;*.jpg
{0}(未修成)	{0}(chưa hoàn thành)
刚在工作时走了走神	Vừa làm việc vừa lơ đãng
火属性伤害减免: {0:P3}	Giảm sát thương thuộc tính lửa: {0:P3}
魔(茫然)	Ma (Mơ hồ)
暂时无法吞噬品阶大于{0:F2}的物品	Tạm thời không thể nuốt vật phẩm có phẩm cấp lớn hơn {0:F2}
信心满满，正准备突破瓶颈	Tràn đầy tự tin, chuẩn bị đột phá bình cảnh
消耗9点香火值，为一名弟子灌顶，直接赐予其50000点参悟值。	Tiêu hao 9 điểm hương hỏa, truyền đỉnh cho một đệ tử, trực tiếp ban cho 50000 điểm tham ngộ.
等待复活	Chờ phục sinh
显示关于{0}的评论	Hiển thị bình luận về {0}
炼制法宝：{0}件	Luyện chế pháp bảo: {0} món
{0}来到此地，发现了多件事情的踪迹。于是决定去处理其中一件事情。	{0} đến nơi này, phát hiện nhiều dấu vết sự việc. Quyết định xử lý một trong số đó.
剩余招揽人数:{0}人	Số người mời còn lại: {0} người
\n附加 {0} 的效果:	\nHiệu ứng thêm của {0}:
探听到重要消息	Nghe được tin tức quan trọng
{0}的撕咬	Cú cắn của {0}
自定义互动按钮	Nút tương tác tùy chỉnh
地图内容	Nội dung bản đồ
逆运之局	Cục diện nghịch vận
当前阵图仍未保存，无法配置布局	Sơ đồ trận hiện tại chưa được lưu, không thể cấu hình bố cục
显示名称	Hiển thị tên
建立神国	Xây dựng thần quốc
需要解锁扩展内容[{0}]	Cần mở khóa nội dung mở rộng [{0}]
是否确定记忆该思绪片段，记忆后将无法放回。	Bạn có chắc chắn muốn ghi nhớ mảnh suy nghĩ này không? Sau khi ghi nhớ sẽ không thể trả lại.
擅长	Sở trường
点燃	Đốt lửa
尚未解锁阵眼，无法使用阵法系统。	Chưa mở khóa trận nhãn, không thể sử dụng hệ thống trận pháp.
弟子数量：{0}/{1}	Số lượng đệ tử: {0}/{1}
正在获取战斗记录	Đang lấy dữ liệu chiến đấu
突破	Đột phá
重量：{0}斤	Trọng lượng: {0} cân
等于	Bằng
灵兽无法被转换阵营	Linh thú không thể chuyển đổi phe
适龄提示	Gợi ý độ tuổi phù hợp
{0}是{1}	{0} là {1}
秘籍：{0}\n	Bí kíp: {0}\n
非万界天宫	Không phải Thiên Cung Vạn Giới
击杀	Hạ sát
斩念天劫	Kiếp nạn chém niệm
不是法宝	Không phải pháp bảo.
激活雕像	Kích hoạt tượng
请选择要吃掉的建材	Vui lòng chọn vật liệu xây dựng cần ăn
武当仙踪	Võ Đang Tiên Tung
疑惑	Nghi hoặc.
将会替换该槽位已经放入的先祖遗物,继续吗?	Sẽ thay thế di vật tổ tiên đã được đặt trong vị trí này, tiếp tục chứ?
攻击目标为非敌方单位，确定要发起攻击吗？	Mục tiêu tấn công là đơn vị không phải kẻ địch, bạn chắc chắn muốn tấn công không?
最后修改时间:{0}	Thời gian sửa đổi cuối:{0}
法宝归阵	Pháp bảo quay về trận
[关闭]\n防御及保护，开启后会自动反击发起攻击的敌人	[Đóng]\nPhòng thủ và Bảo vệ, bật lên sẽ tự động phản kích Kẻ địch tấn công
戌时,黄昏时分,日夕之刻,日暮时分,起更之时,华灯初上	Giờ Tuất, lúc hoàng hôn, khoảnh khắc cuối ngày, lúc chạng vạng, giờ bắt đầu canh, đèn hoa vừa lên
使该建筑着火。纯表现。	Làm cho tòa nhà này bốc cháy. Chỉ để biểu diễn.
{0}[color=#9e6404][结档][/color]	{0}[color=#9e6404][Kết án][/color]
存档上传失败	Tải lên lưu trữ thất bại
妖兽	Yêu thú.
点击打开角色属性面板	Nhấp để mở bảng thuộc tính nhân vật
正常	Bình thường
为他提供帮助	Giúp đỡ họ
闲来无事，准备练习秘法	Rảnh rỗi không có việc gì, chuẩn bị luyện tập bí pháp
\n{0}等级：{1}/{2:F0}	\n{0} cấp độ: {1}/{2:F0}
移动速度：未改变\n	Tốc độ di chuyển: Không thay đổi\n
好	Tốt
游戏有版本更新{0}	Trò chơi có bản cập nhật phiên bản {0}
门派声望	Danh tiếng môn phái
是否确定删除该思绪片段，删除以后无法恢复。	Bạn có chắc chắn muốn xóa đoạn suy nghĩ này không? Sau khi xóa sẽ không thể khôi phục.
[color=#66FF00]已参悟[/color]\n	[color=#66FF00]Đã tham ngộ[/color]\n
亥时,人定之时,二更时分,夜深人静,月上柳梢,夜幕深沉	Giờ Hợi, giờ người định, lúc canh hai, khi đêm khuya yên tĩnh, trăng lên đầu cành liễu, màn đêm sâu thẳm
正面无表情的赶路	Đi đường với gương mặt không biểu cảm
\r\n[简介]	\r\n[Giới thiệu]
因神国中神民怨念累积而产生的信仰天劫。如果度过，则使怨念清零，如若失败，则灰飞烟灭。	Do thần dân trong Thần Quốc tích tụ oán niệm mà sinh ra thiên kiếp tín ngưỡng. Nếu vượt qua, oán niệm sẽ được xóa sạch, nếu thất bại, sẽ tan thành mây khói.
重载Thing	Tải lại Thing
锻造	Rèn luyện
多选相似	Target Team tương tự
坐南朝北	Hướng nam quay bắc
神灵问踪	Thần Linh Vấn Tung
你的信仰圣物已经遗失。	Thánh vật tín ngưỡng của bạn đã bị mất.
已复制结束{0}个文件	Đã sao chép xong {0} tệp
境界:{0} 或 {1}	Cảnh giới: {0} hoặc {1}.
归属感：{0:0}	Cảm giác thuộc về: {0:0}
真炁消耗\n在启用该秘体时，会持续的消耗真炁。	Tiêu hao chân khí\nKhi kích hoạt bí thể này, sẽ liên tục tiêu hao chân khí.
护法[color=#{3}][{0}·{1}][/color]降临并答应为{2}提供庇护！\n{4}	Hộ pháp [color=#{3}][{0}·{1}][/color] giáng lâm và đồng ý bảo vệ {2}!\n{4}
({0:P2})[未显现]	({0:P2})[Chưa hiển thị]
规划路线	Lập kế hoạch tuyến đường
渲染效果调整后，需要重启游戏才会生效	Sau khi điều chỉnh hiệu ứng kết xuất, cần khởi động lại game để có hiệu lực
物品	Vật phẩm
需要先启用太始/太终/太虚/太真中任意一个天道！	Cần kích hoạt một trong Thiên đạo Thái Thủy/Thái Chung/Thái Hư/Thái Chân trước!
吞食	Nuốt chửng
装备道具:{0}	Trang bị đạo cụ: {0}
成功劝化{0}，{0}进入{1}神国并成为核心信徒	Thành công cảm hóa {0}, {0} gia nhập thần quốc {1} và trở thành tín đồ cốt lõi
过往	Quá khứ
建筑类型非法	Loại hình công trình không hợp lệ
该角色同时激活的符咒最多只能有{0}个！	Nhân vật này chỉ có thể kích hoạt tối đa {0} phù chú cùng lúc!
[align=center](淬体法)[	[align=center](Công pháp Tẩy Thể)[
地图编辑	Chỉnh sửa bản đồ
地板	Sàn nhà
道淬成功率：{0}	Tỷ lệ rèn Đạo thành công:{0}
该秘籍已被锁定	Bí kíp này đã bị khóa
[color=#9e6404]相关工作：[/color]\n屠宰\n狩猎\n探索	[color=#9e6404]Công việc liên quan:[/color]\nGiết mổ\nSăn bắn\nKhám phá
装备或者拾取一个道具	Trang bị hoặc nhặt một đạo cụ
可分配点数不足	Điểm phân bổ không đủ
一个特性	Một đặc tính
江湖秘闻	Bí ẩn giang hồ
未知物品	Vật phẩm chưa biết
目标名与云端文件冲突，请使用其他命名。	Tên mục tiêu bị trùng với file trên cloud, vui lòng dùng tên khác.
心境层次对神国面积的影响。	Tầng tâm cảnh ảnh hưởng đến diện tích thần quốc.
帮助	Trợ giúp
删除此物品。	Xóa vật phẩm này.
未下载	Chưa tải xuống
已然圆满，不可突破。	Đã viên mãn, không thể đột phá.
\n前置条件：{0}	\nĐiều kiện tiên quyết: {0}
取消订阅	Hủy đăng ký
打开看看里面放的是什么	Mở ra xem bên trong có gì
没有吞食建筑材料的能力	Không có khả năng ăn nguyên liệu xây dựng
动物	Động vật
刚完成今天的修行	Vừa hoàn thành tu hành hôm nay
已阅	Đã xem
拥有交易区才可以交易	Có khu vực giao dịch mới có thể giao dịch
部位拥有词条个数已达最大数量	Số lượng từ khóa của bộ phận đã đạt tối đa
搬运中	Đang vận chuyển
蕴养中，剩余:{0}天	Dưỡng nuôi, còn lại: {0} ngày
心咆意哮	Tâm bão ý gào
选择属性	Chọn thuộc tính
[color=#9e6404]相关工作：[/color]\n锻造物品\n搬运锻造原料	[color=#9e6404]Công việc liên quan:[/color]\nRèn vật phẩm\nVận chuyển nguyên liệu rèn
在制药时，正快乐的哼着小调	Khi đang chế thuốc, vui vẻ ngân nga một giai điệu nhỏ
宗	Tông
确定要对{0}施展吗？这将会导致死亡。	Xác nhận muốn thực hiện lên {0} không? Điều này sẽ dẫn đến cái chết.
房间内生效，受房间内建筑和物品的品阶影响。	Hiệu lực trong phòng, bị ảnh hưởng bởi phẩm cấp của công trình và vật phẩm trong phòng.
{0}的的瓶颈即将松动，暂时不宜外出历练。	Bình cảnh của {0} sắp nới lỏng, tạm thời không nên ra ngoài trải nghiệm.
混元	Hỗn nguyên.
垂钓提竿	Câu cá nhấc cần
可以预见，你对此人的劝化如[color=#ffffff]对牛弹琴[/color]，完全没用	Có thể thấy, việc bạn thuyết phục người này như [color=#ffffff]đàn gảy tai trâu[/color], hoàn toàn vô ích
是否确定开始思考，该次思考将不会产生任何思绪，并将清除所有未记忆的思绪片段	Có chắc chắn bắt đầu suy nghĩ không? Lần suy nghĩ này sẽ không tạo ra bất kỳ suy nghĩ nào và sẽ xóa tất cả các mảnh suy nghĩ chưa được ghi nhớ.
石材	Đá
兽	Thú
{0}代理点	{0} Đại lý điểm
在逃亡途中，你们不幸被追杀的敌人找寻到，生死关头，一名青山高冠的仙人从天而降，飞剑如电，瞬间将追兵斩杀。\n  你们刚准备拜谢救命之恩，那名仙人就挥手阻止了你们，而后连说三声真像，便留下一封信笺，化光而去……	Trong lúc chạy trốn, các ngươi không may bị kẻ địch truy sát tìm thấy. Trong lúc sinh tử cận kề, một vị tiên nhân đội mũ cao xanh từ trên trời giáng xuống, phi kiếm như điện, trong chớp mắt đã tiêu diệt truy binh.\nCác ngươi vừa định bái tạ ân cứu mạng, vị tiên nhân ấy đã vẫy tay ngăn lại, sau đó liên tục nói ba lần "Thật giống", rồi để lại một phong thư, hóa quang mà đi...
将该思绪片段加入思考	Thêm đoạn suy nghĩ này vào tư duy
除魔	Trừ ma
房间影响\n房屋内家具设施的品阶高低。	Ảnh hưởng phòng\nPhẩm chất của nội thất và thiết bị trong nhà.
将一个外门弟子晋升内门	Thăng cấp một đệ tử ngoại môn thành nội môn
[color=#9e6404]相关工作：[/color]\n烹饪\n搬运烹饪原料	[color=#9e6404]Công việc liên quan:[/color]\nNấu ăn\nVận chuyển nguyên liệu nấu ăn
停留	Dừng lại
欲圣中求慧，必须保持心境400，持续{0:N1}天。角色悟性越高，需要持续的时间越短。	Muốn tìm thánh trong dục vọng, cần duy trì tâm cảnh 400, kéo dài {0:N1} ngày. Tính ngộ của nhân vật càng cao, thời gian cần duy trì càng ngắn.
\n聚灵: 	\nTụ linh: 
夏意	Cảm giác mùa hè
传授	Truyền dạy
{2}\n\n所需境界:{3}{4}\n<font color=#CCFF66>{0}</font>\n{1}	{2}\n\nCảnh giới yêu cầu:{3}{4}\n<font color=#CCFF66>{0}</font>\n{1}
检测到有商品未能成功发货,现已进行补发:{0}\n谢谢大爷!	Phát hiện có sản phẩm chưa gửi hàng thành công, hiện đã tiến hành giao lại:{0}\nCảm ơn đại nhân!
工作计划是外门的核心策略模块，规定了外门弟子的工作优先级和重心。\n工作优先级越往右越低，可以进行高优先级工作时不会进行低优先级工作。\n[color=#9e6404][特别优先]可以将一个工作优先级提高到所有工作之上[/color]。	Kế hoạch công việc là mô-đun chiến lược cốt lõi của ngoại môn, quy định ưu tiên và trọng tâm công việc của đệ tử ngoại môn.\nƯu tiên công việc càng về phía phải càng thấp, có thể thực hiện công việc ưu tiên cao mà không thực hiện công việc ưu tiên thấp.\n[color=#9e6404][Ưu tiên đặc biệt] có thể nâng một công việc lên trên tất cả các công việc khác[/color].
{0}，竟重达{1:f1}斤！！！	{0}, nặng đến tận {1:f1} cân!!!
垂钓翁	Người câu cá
堂主	Đường chủ
房间内生效，受房间光照影响。	Hiệu lực trong phòng, chịu ảnh hưởng bởi ánh sáng trong phòng.
\n削减最大灵气：{0:N0}({1:N0})	\nGiảm linh khí tối đa: {0:N0}({1:N0})
{0}已激活!\n谢谢大爷!	{0} đã kích hoạt!\nCảm ơn!
此经历不可改变	Kinh nghiệm này không thể thay đổi
{0}(第{1}重)\n	{0}(Trọng {1})\n
古卷	Cổ quyển
这个秘籍已有录入命令	Bí kíp này đã có lệnh nhập liệu
[击败模式]	[Chế độ đánh bại]
休息	Nghỉ ngơi
(被选择)	(Được chọn)
PayMgr-> 找不到ID为{0}商品的{1}折价格信息	PayMgr-> Không tìm thấy thông tin giá ưu đãi {1} cho sản phẩm ID {0}
多次灵淬	Nhiều lần Linh Tẩy
大	Lớn
 正在上传中，请耐心等待...\n	 Đang tải lên, vui lòng kiên nhẫn chờ đợi...\n.
不限制	Không giới hạn
信仰\n信仰可以通过前往天下主动获取，或者建立神庙来自动获取，核心信徒也会提供可观的信仰收益。	Tín ngưỡng\nTín ngưỡng có thể nhận được thông qua việc đi khắp thiên hạ chủ động thu thập, hoặc xây dựng thần miếu để tự động thu thập, tín đồ cốt lõi cũng sẽ cung cấp nguồn tín ngưỡng đáng kể.
\n[color=#FF0000]此角色在其他地方心境有亏，此时心境已达极致，无法圆满。[/color]	\n[color=#FF0000]Nhân vật này ở nơi khác tâm trạng có khuyết điểm, lúc này tâm trạng đã đạt cực hạn, không thể viên mãn.[/color]
淬体	Rèn luyện cơ thể
你的门派声望已经达到{0},来袭的敌人强度会随之提升，请做好防范！	Danh vọng Môn phái của bạn đã đạt {0}, sức mạnh kẻ địch sẽ tăng theo, hãy đề phòng!
点击选择信仰对象\n信仰对象必须是神道修行者	Nhấp để chọn đối tượng tín ngưỡng\nĐối tượng tín ngưỡng phải là người tu hành thần đạo
生存目标	Mục tiêu sinh tồn
\n该存档版本号过低，可以轮回开局。\n	\nPhiên bản lưu trữ này quá thấp, có thể khởi đầu lại vòng luân hồi.\n
护法	Hộ pháp
同意	Đồng ý
死亡弟子：{0}	Đệ tử đã chết: {0}
{0}获得{1}点信仰	{0} nhận được {1} điểm tín ngưỡng
妙趣	Thú vị
此人灵魂特殊，无法劝化。	Người này có linh hồn đặc biệt, không thể thuyết phục.
收徒	Nhận đồ đệ
对话	Đối thoại
食用	Ăn
邪	Tà
更新MOD信息...	Cập nhật thông tin MOD...
精怪吞噬	Tinh quái nuốt chửng
未拥有	Không sở hữu
开采这个矿石	Khai thác quặng này.
姓名:{0}\n{1}\n{2}	Tên: {0}\n{1}\n{2}
\n灵气最大值不够：{0:F0}/{1:F0}	\nGiá trị linh khí tối đa không đủ: {0:F0}/{1:F0}
外门弟子	Đệ tử ngoại môn
效果	Hiệu quả
[align=center]寿元天劫[/align]\n已渡次数:{0}\n可渡次数:{1}\n\n[color=#D06508]年龄每达千数，便可与冥冥之中感悟天道对寿元之限制。若修成元神，便可运转元神引动天机，以渡寿元之天劫。[/color]	[align=center]Thiên kiếp tuổi thọ[/align]\nSố lần đã vượt qua: {0}\nSố lần có thể vượt qua: {1}\n\n[color=#D06508]Mỗi khi đạt đến số tuổi hàng nghìn, có thể cảm nhận được sự hạn chế của thiên đạo đối với tuổi thọ. Nếu tu thành nguyên thần, có thể vận chuyển nguyên thần để dẫn động thiên cơ, vượt qua thiên kiếp tuổi thọ.[/color]
随机生成一本秘籍	Ngẫu nhiên tạo ra một bí kíp
男性	Nam
<font color=#FF0000>蓝图中存在失落之物！\n</font>	<font color=#FF0000>Bản vẽ có vật thất lạc!\n</font>
灵智碎片，可通过一条理智，认知，感知类型的思绪合成。	Mảnh trí tuệ, có thể tổng hợp thông qua một dòng suy nghĩ về lý trí, nhận thức, cảm giác.
将一名信仰程度达到100%的核心信徒永久转化为护法。\n消耗信仰：{2}{0:N0}/{1:N0}{3}	Chuyển hóa vĩnh viễn một tín đồ cốt lõi có mức độ tín ngưỡng đạt 100% thành hộ pháp.\nTiêu hao tín ngưỡng: {2}{0:N0}/{1:N0}{3}
随机符咒	Bùa chú ngẫu nhiên
【{0}】赢得竞拍	【{0}】đã thắng đấu giá
休养	Dưỡng sức
食用给与	Ăn vào nhận được
手选单位	Đơn vị được chọn thủ công
冷漠	Lạnh lùng
CloudSave->存档压缩文件上传失败:{0}	CloudSave->Tải lên tệp nén lưu trữ thất bại:{0}
阵眼:{0}\n\n	Trận nhãn: {0}\n\n
灵智碎片：\n{2},{3},{4}\n	Mảnh linh trí: \n{2}, {3}, {4}\n
请调息片刻静待下次评论	Hãy nghỉ ngơi một chút và chờ bình luận tiếp theo
选择要炼制的秘宝	Chọn bí bảo cần luyện chế
无法结阵	Không thể kết trận
正专心练习秘法	Đang tập trung luyện tập bí pháp
勉强	Miễn cưỡng
未知境界	Cảnh giới chưa biết
CloudSave->找到旧存档:{0}	CloudSave-> Đã tìm thấy lưu tệp cũ: {0}
经脉	Kinh mạch
功法秘籍	Công pháp bí kíp
灵性澎湃	Linh tính tràn trề
点击[装备道具]按钮。	Nhấp vào nút [Trang bị đạo cụ].
无心工作，正想偷懒	Không muốn làm việc, đang nghĩ cách lười biếng
一件以{2}为主材料的{0}炼制成的{1}阶法宝。	Một món pháp bảo cấp {1} được luyện chế từ {2} làm nguyên liệu chính.
正心不在焉的练习御剑中	Đang luyện tập ngự kiếm mà tâm trí lơ đãng
神秘杀手	Sát thủ bí ẩn
位于炼丹炉之侧	Bên cạnh lò luyện đan
信徒数量对神国面积的影响。	Số lượng tín đồ ảnh hưởng đến diện tích quốc gia thần thánh.
胖	Béo
需要先选择游戏模式！	Cần chọn chế độ trò chơi trước!
以下模组需要 {0} 作为前置模组:{1}	Các mô-đun sau cần {0} làm mô-đun tiền đề: {1}
初入仙道	Sơ Nhập Tiên Đạo
{0}在淬炼{1}时，突然感悟到体内远古的血脉被唤醒了。	{0} trong lúc luyện {1}, đột nhiên cảm ngộ được huyết mạch cổ xưa bên trong cơ thể đã được đánh thức.
{0} 战胜了 {1}	{0} đã chiến thắng {1}
第{0}轮竞拍	Lượt đấu giá thứ {0}
购买说明:购买后可使用{0}皮肤	Hướng dẫn mua: Sau khi mua có thể Sử dụng skin {0}
在练习御剑之时，正因法宝太快而苦恼	Khi luyện tập ngự kiếm, đang khổ sở vì pháp bảo quá nhanh
{0:f0}秒	{0:f0} giây
取消收藏	Hủy bỏ yêu thích
请选择数量！	Vui lòng chọn số lượng!
发现并练习新秘籍的数量	Số lượng bí kíp mới được phát hiện và luyện tập
对话名称：{0}\n来源：{1}	Tên đối thoại: {0}\nNguồn: {1}
点击领取	Nhấn nhận.
早饭	Bữa sáng.
新建功能节点	Tạo mới nút chức năng
智能调整交易中的灵石数量使交易平衡。	Tự động điều chỉnh số lượng linh thạch trong giao dịch để cân bằng giao dịch.
转化	Chuyển hóa
在搬运之时，正在胡思乱想	Khi vận chuyển, đang mơ màng suy nghĩ viển vông
{0}与{1}感情基础\n{2}	{0} và {1} cảm tình cơ bản\n{2}
无法上传他人的存档文件!	Không thể tải lên lưu tệp của người khác!
{0}相关	Liên quan đến {0}
确定要覆盖存档{0}吗？	Xác nhận muốn ghi đè tệp lưu {0} không?
鼎炉\n鼎炉之限：{0:F0}\n炼精化气：{1:F0}/{0:F0}\n阶段：{2}\n{3}\n\n[color=#D06508]炼精化气：修炼时消耗精元并提高灵气最大值。\n鼎炉之限：肉身所能承担炼精化气的最大数值，由先天潜力决定。[/color]	Đỉnh lô\nGiới hạn đỉnh lò: {0:F0}\nLuyện tinh hóa khí: {1:F0}/{0:F0}\nGiai đoạn: {2}\n{3}\n\n[color=#D06508]Luyện tinh hóa khí: Tiêu hao tinh nguyên khi tu luyện và tăng tối đa linh khí.\nGiới hạn đỉnh lô: Giá trị tối đa mà cơ thể có thể chịu được khi luyện tinh hóa khí, được quyết định bởi tiềm năng bẩm sinh.[/color]
预览图不符合要求，请使用小于1MB的图片作为预览图	Hình ảnh xem trước không đáp ứng yêu cầu, vui lòng sử dụng hình ảnh nhỏ hơn 1MB làm hình ảnh xem trước
这个秘籍正准备录入	Bí kíp này đang chuẩn bị ghi chép
不能放置在此处	Không thể đặt ở đây
您已经完成了序章，[经典模式]和[太虚幻境]已解锁！\n现在您可以继续查看感兴趣的教学内容或者直接开始一场完整的游戏并自行探索。	Bạn đã hoàn thành phần mở đầu, [Chế độ cổ điển] và [Thái Hư Huyễn Cảnh] đã được mở khóa!\nBây giờ bạn có thể tiếp tục xem nội dung hướng dẫn bạn quan tâm hoặc bắt đầu một trò chơi đầy đủ và tự mình khám phá.
重新激活	Kích hoạt lại
打开生产面板	Mở bảng sản xuất.
{0}近日急需{1}，愿使用派内宝物{2}与你交换。	{0} gần đây rất cần {1}, nguyện dùng bảo vật trong phái {2} để trao đổi với bạn.
查看教程将自动存档并离开当前游戏，您可以在结束教程后继续当前游戏，是否进入教程？	Xem hướng dẫn sẽ tự động lưu tệp và rời đi khỏi trò chơi hiện tại, bạn có thể tiếp tục trò chơi sau khi kết thúc hướng dẫn, bạn có muốn vào hướng dẫn không?
尊敬	Tôn kính
兽形态的弟子无法被传授	Đệ tử ở dạng thú không thể được truyền dạy
更新完成	Cập nhật hoàn thành
平心静气，准备修行	Bình tâm tĩnh khí, chuẩn bị tu hành
天象圣威	Thánh uy thiên tượng
法宝胚胎进度MAX	Tiến độ phôi pháp bảo MAX
在应天台凝结灵石时候，{0} 战胜争夺者 {1}，夺得了灵石。	Khi ngưng tụ linh thạch tại Ứng Thiên Đài, {0} đã đánh bại đối thủ {1} và giành được linh thạch.
滞留{0}次	Lưu lại {0} lần.
第{0}日	Ngày thứ {0}
该角色不能再次作为目标了	Nhân vật này không thể tiếp tục làm mục tiêu nữa.
木客	Mộc khách
{2}数量限制：{0}({1}){3}\n	Giới hạn số lượng {2}: {0}({1}){3}\n
护盾强度:	Cường độ hộ thuẫn:
\n道行不够：{0}	\nĐạo hạnh không đủ: {0}.
{0}→[color=#999900]{1}(归元)[/color]	{0}→[color=#999900]{1}(Quy nguyên)[/color]
五行：相生\n	Ngũ hành: Tương sinh\n.
不太想照顾这个人，正准备偷懒	Không muốn chăm sóc người này lắm, đang định lười biếng
命令与行为	Lệnh và hành vi
轮回者	Luân hồi giả
选中需要装备符咒的角色。	Chọn nhân vật cần trang bị bùa chú.
<font color=#FF0000>不可选中</font>	<font color=#FF0000>Không thể chọn</font>
习得符咒：{0}	Học bùa chú: {0}
[政策] {0}\n	[Chính sách] {0}\n
装扮已全部还原!	Trang phục đã được khôi phục toàn bộ!
正慢悠悠的走路	Đang bước đi chậm rãi
秘密	Bí mật
你已经离开硬核模式	Bạn đã rời khỏi chế độ Hardcore
\n{0}{1:F0}  {2}等级	\n{0}{1:F0}  {2} cấp độ
编辑角色形象。	Chỉnh sửa hình tượng nhân vật.
