Key	Value
{0}向其怒吼：“你再不停下，小心我打你！”“就是他！他就是万恶之源！”看来{0}还不够有威慑力，群众用怀疑的眼神看着{0}。群众受到了装神弄鬼的影响。	{0} hét lên với ông ấy: “Ngươi còn không dừng lại, cẩn thận ta đánh ngươi!” “Chính là hắn! Hắn chính là nguồn gốc của mọi điều ác!” Có vẻ như {0} vẫn chưa đủ uy hiếp, đám đông nhìn {0} với ánh mắt nghi ngờ. Đám đông bị ảnh hưởng bởi hành vi mê tín.
{0}对众人说：“你这么能干，不如加入我们吧。”但他并不愿意。群众受到了装神弄鬼的影响。	{0} nói với mọi người: “Ngươi tài giỏi như vậy, chi bằng gia nhập chúng ta đi.” Nhưng ông ấy không đồng ý. Đám đông bị ảnh hưởng bởi hành vi mê tín.
{0}说走上前去，与他辩论。他与{0}说了半天，驴头不对马嘴，装神弄鬼结束了。	{0} nói bước lên phía trước, tranh luận với anh ta. Anh ta và {0} nói chuyện hồi lâu, nhưng lời nói chẳng ăn nhập gì, cuối cùng kết thúc bằng cách giả thần giả quỷ.
{0}带了些食物。但他并不需要吃东西。群众受到了装神弄鬼的影响。	{0} mang theo một ít thức ăn. Nhưng anh ta không cần ăn. Đám đông bị ảnh hưởng bởi hành động giả thần giả quỷ.
{0}带了些灵石，但他不认识灵石。群众受到了装神弄鬼的影响。	{0} mang theo một ít linh thạch, nhưng anh ta không nhận ra linh thạch. Đám đông bị ảnh hưởng bởi hành động giả thần giả quỷ.
{0}拿了根木棍，想要将其打晕。“就是他！他就是万恶之源！”群众用怀疑的眼神看着{0}，没想到他恶人先告状。群众受到了装神弄鬼的影响。	{0} cầm một cây gậy gỗ, muốn đánh anh ta ngất xỉu. "Chính là hắn! Hắn chính là nguồn gốc của mọi tội ác!" Đám đông nhìn {0} với ánh mắt nghi ngờ, không ngờ kẻ ác lại tố cáo trước. Đám đông bị ảnh hưởng bởi hành động giả thần giả quỷ.
{0}拿了块石头，向他砸了过去。他被打晕了，群众也被吓到了。	{0} cầm một viên đá, ném về phía anh ta. Anh ta bị đánh ngất, đám đông cũng bị dọa sợ.
信奉{0}的人数增加了{1}人。	Số người tín ngưỡng {0} tăng thêm {1} người.
[NAME]仔细的研究了这个奇怪的物件，只觉得构成封印的能量似乎与这个世界格格不入，竟然无比排斥灵气的渗透。如果用强，甚至会导致此物彻底湮灭。正当[NAME]束手无策之际，竟然从封印的手法上发现了一丝熟悉的味道。	[NAME] nghiên cứu kỹ lưỡng vật kỳ lạ này, chỉ cảm thấy năng lượng cấu thành phong ấn dường như không phù hợp với thế giới này, thậm chí vô cùng bài xích sự xâm nhập của linh khí. Nếu dùng sức mạnh, thậm chí có thể khiến vật này hoàn toàn tiêu tan. Đúng lúc [NAME] bó tay, lại phát hiện một chút hương vị quen thuộc từ thủ pháp phong ấn.
受到其他代理势力影响，信奉{0}的人数只增加了{1}人。	Do bị ảnh hưởng bởi thế lực đại diện khác, số người tín ngưỡng {0} chỉ tăng thêm {1} người.
在{1}，有少量群众选择信奉{0}。	Tại {1}, có một số ít người lựa chọn tín ngưỡng {0}.
[SCHOOL]的长老皱了皱眉，一副不想惹事的样子转身离去。暗中却向[NAME]使出[SCHOOL]的绝杀秘术，想不费吹灰之力夺取[NAME]性命。	Trưởng lão của [SCHOOL] nhíu mày, tỏ vẻ không muốn gây sự, quay người rời đi. Nhưng âm thầm sử dụng tuyệt kỹ sát thủ của [SCHOOL] nhằm tiêu diệt [NAME] mà không tốn sức.
[NAME]早已察觉，也故作中招，趁敌人大喜回身之际发出运起全身功力的一击。只一道惊龙般的神光如神矢贯月，瞬间将毫无防备的[SCHOOL]的长老打成飞灰。	[NAME] đã nhận ra từ sớm, giả vờ trúng chiêu, chờ lúc đối phương quay người vui mừng thì tung ra toàn lực tấn công. Một luồng ánh sáng như rồng thần bắn xuyên qua, lập tức biến trưởng lão của [SCHOOL] thành tro bụi.
据说信奉{0}的人数增加了{1}人。	Nghe nói số người tín ngưỡng {0} tăng thêm {1} người.
[NAME]大惊失色，已经失了先机，虽然拼命逃走，但却被[SCHOOL]的长老的致命的一击打中了心脏。	[NAME] kinh hãi, đã mất thế chủ động, dù cố gắng chạy trốn nhưng vẫn bị trưởng lão của [SCHOOL] đánh trúng tim bằng một đòn chí mạng.
在{1}，有不少信徒背离了{0}。	Tại {1}, không ít tín đồ đã rời bỏ {0}.
[NAME]施展神通，隔绝严寒，进入洞府中寻找仙缘，最终在一个不起眼的房间发现了一方玉匣。	[NAME] thi triển thần thông, ngăn cách cái lạnh, tiến vào động phủ tìm kiếm tiên duyên, cuối cùng phát hiện một chiếc hộp ngọc trong một căn phòng không mấy nổi bật.
[SCHOOL]的长老皮笑肉不笑的看了你一样，似乎想动手，但最终掉转方向离去。	Trưởng lão của [SCHOOL] cười nhạt nhìn bạn, dường như muốn ra tay nhưng cuối cùng lại quay người rời đi.
[NAME]选择无视对面，可[SCHOOL]的长老却不准备放过他，他目露凶光，挥手就拦住[NAME]的去路，并发动了猛烈的攻击。	[NAME] chọn phớt lờ đối phương, nhưng trưởng lão của [SCHOOL] không định buông tha, ánh mắt lóe lên sát khí, chặn đường [NAME] và tấn công dữ dội.
双方斗了几个回合，[NAME]感觉灵气不继，一时疏忽被对方破了法术。[SCHOOL]的长老招招夺命，[NAME]拼尽全力才逃脱了[SCHOOL]的长老的追杀。	Sau vài hiệp giao đấu, [NAME] cảm thấy linh khí không đủ, sơ suất bị đối phương phá vỡ pháp thuật. Trưởng lão của [SCHOOL] chiêu nào cũng chí mạng, [NAME] phải dốc toàn lực mới thoát được sự truy sát của trưởng lão [SCHOOL].
信奉{0}的人数减少了约{1}。	Số người tín ngưỡng {0} giảm khoảng {1}.
[NAME]施展神通，隔绝严寒，进入洞府中寻找仙缘，但是最后还是一无所获，反而不慎触发了禁法而负伤，只能暗叹与仙府无缘。	[NAME] thi triển thần thông, ngăn cách cái lạnh, tiến vào động phủ tìm kiếm tiên duyên, nhưng cuối cùng lại chẳng thu hoạch được gì, ngược lại vô tình kích hoạt cấm pháp mà bị thương, chỉ có thể thở dài than thở không có duyên với tiên phủ.
在{1}，有少量信徒背离了{0}。	Tại {1}, một số ít tín đồ đã rời bỏ {0}.
信奉{0}的人数稍微减少了{1}人。	Số người tín ngưỡng {0} giảm nhẹ {1} người.
[SCHOOL]的长老看到[NAME]神色不忿，但是想了想[NAME]在修行界的凶威还是啐了一口，扭头离去。	Trưởng lão của [SCHOOL] nhìn [NAME] với vẻ không hài lòng, nhưng nghĩ đến uy danh của [NAME] trong giới tu luyện, đành nhổ một bãi nước bọt rồi quay đi.
[SCHOOL]的长老大喝一声歪门邪道，人人得而诛之，挥手祭出随身法宝，对[NAME]发起凌厉的攻势。	Trưởng lão của [SCHOOL] hét lớn: "Tà đạo, ai ai cũng phải tiêu diệt!" rồi lấy pháp bảo ra, phát động tấn công mạnh mẽ vào [NAME].
[NAME]见对方招数精奇，先失了胆气。只得卖了个破绽，付出受了几处伤的代价借遁光逃离。	[NAME] thấy chiêu thức của đối phương quá tinh vi, mất hết dũng khí. Đành phải tạo ra một sơ hở, chấp nhận bị thương vài chỗ để dùng ánh sáng chạy trốn.
[NAME]根本无法忍受洞府中的严寒，只得无奈离去。	[NAME] hoàn toàn không thể chịu đựng nổi cái lạnh trong động phủ, đành bất lực rời đi.
在{1}，有少量信徒背离了{0}，并成为了我们的信众。	Tại {1}, một số ít tín đồ đã rời bỏ {0}, và trở thành tín đồ của chúng ta.
我方信众稍微增加了{0}人。	Số tín đồ của ta tăng nhẹ {0} người.
在{1}，部分信徒背离了{0}，并成为了我们的信众。	Tại {1}, một số tín đồ đã rời bỏ {0}, và trở thành tín đồ của chúng ta.
[SCHOOL]为迎接[NAME]来临，派遣诸多弟子相迎。恭敬的无以复加。[NAME]乐得自在，在[SCHOOL]逍遥了几天，而后离去。	[SCHOOL] để chào đón sự xuất hiện của [NAME], đã cử nhiều đệ tử đến chào đón, cung kính vô cùng.<br>[NAME] vui vẻ tự tại, ở lại [SCHOOL] vài ngày rồi rời đi.
{0}尝试安抚他们，展现了处世之道：“生意讲究公平竞争。你们这样打闹，怕是神仙都不敢再来了。”他们双方觉得有些道理，不再争吵。群众投来赞许的目光。	{0} cố gắng an ủi họ, thể hiện cách sống: "Làm ăn cần chú trọng cạnh tranh công bằng. Các người cãi nhau như thế này, e rằng thần tiên cũng không dám đến nữa." Hai bên cảm thấy lời nói có lý, không cãi nhau nữa. Đám đông nhìn {0} với ánh mắt tán thưởng.
{0}向他们吼道：“吵什么吵？再吵生意就别做了！”然而他们人多势众，{0}说的话几乎无人在乎。	{0} hét lên với họ: "Cãi cái gì mà cãi? Còn cãi thì đừng làm ăn nữa!" Nhưng họ đông người thế mạnh, lời của {0} hầu như không ai quan tâm.
{0}对众人说：“你们都来做我们的信徒吧，这样大家都是一家人了。”但他们并不愿意，继续争吵。	{0} nói với họ: "Tất cả các người hãy đến làm tín đồ của chúng tôi, như vậy mọi người đều là người một nhà." Nhưng họ không muốn, tiếp tục cãi nhau.
{0}说：“打死他们！今天就要分个胜负！。”没想到他们真的打了起来，一片混乱。群众害怕地逃走了。	{0} nói: "Đánh chết bọn họ! Hôm nay phải phân thắng bại!" Không ngờ họ thực sự đánh nhau, hỗn loạn vô cùng. Đám đông sợ hãi bỏ chạy.
{0}拿了根木棍，想要攻击他们。然而他们人多势众。	{0} cầm một cây gậy gỗ, muốn tấn công họ. Nhưng họ đông người thế mạnh.
{0}拿了块石头，向其中一位砸了过去。他们其中一位被打晕了，其他人也突然被吓到。	{0} cầm một viên đá, ném vào một người trong số họ. Một người bị đánh ngất, những người khác cũng bất ngờ bị dọa sợ.
{0}的收编中断了。	Việc thu phục {0} đã bị gián đoạn.
{0}早已被我们收编。	{0} đã được chúng ta thu phục từ lâu.
{0}已被我们收编！	{0} đã được chúng ta thu phục!
{0}收编进度达到{1}。	Tiến độ thu phục {0} đạt {1}.
{0}收编中断了。	Việc thu phục {0} đã bị gián đoạn.
[NAME]施展神通，避开真火，进入洞府中寻找仙缘，最终在一个不起眼的房间发现了一方玉匣。	[NAME] thi triển thần thông, tránh né chân hỏa, tiến vào động phủ tìm kiếm tiên duyên, cuối cùng phát hiện một chiếc hộp ngọc trong một căn phòng không mấy nổi bật.
[NAME]施展神通，避开真火，进入洞府中寻找仙缘，但是最后还是一无所获，反而不慎触发了禁法而负伤，只能暗叹与仙府无缘。	[NAME] thi triển thần thông, tránh né chân hỏa, tiến vào động phủ tìm kiếm tiên duyên, nhưng cuối cùng lại chẳng thu hoạch được gì, ngược lại vô tình kích hoạt cấm pháp mà bị thương, chỉ có thể thở dài than thở không có duyên với tiên phủ.
[NAME]拜访了[SCHOOL]的掌门，掌门十分感谢[NAME]的门派这些年对[SCHOOL]的弟子的关照。他代表[SCHOOL]将镇派法宝赠与[NAME]。希望两派可以在将来继续守望相助，友谊长存。	[NAME] đã đến thăm chưởng môn của [SCHOOL]. Chưởng môn vô cùng cảm kích sự quan tâm của môn phái [NAME] dành cho các đệ tử của [SCHOOL] trong những năm qua. Thay mặt [SCHOOL], chưởng môn đã tặng pháp bảo trấn phái cho [NAME], hy vọng hai phái có thể tiếp tục hỗ trợ lẫn nhau và duy trì tình hữu nghị lâu dài.
[size=12][color=#000000]口…口口口…口……此物名为“沙发”，凡人以此为休憩之所，其柔软舒适，可坐可卧，确有妙用……口口口……口……[/color][/size]	[size=12][color=#000000]口...口口口...口…… Vật này gọi là “sofa”, phàm nhân dùng để nghỉ ngơi, mềm mại thoải mái, có thể ngồi hoặc nằm, quả thực rất hữu dụng…口口口……口……[/color][/size]
红云神砂	Hồng Vân Thần Sa
丹霞宗镇派法宝，以万年朱砂炼制，破一切邪秽。	Pháp bảo trấn phái của Đan Hà Tông, được luyện từ chu sa vạn năm, có thể phá tan mọi tà ác.
[size=12][color=#000000]口…口口口…口……此界有些凡人颇有闲趣，竟会为宠物打造床铺，吾寻思若能送二师兄养的那只火灵猫一个猫床，想必有趣……口口口……口……[/color][/size]	[size=12][color=#000000]口...口口口...口…… Một số phàm nhân ở thế giới này khá nhàn nhã, thậm chí còn chế tạo giường cho thú cưng. Ta nghĩ nếu tặng một chiếc giường mèo cho con hỏa linh miêu của nhị sư huynh nuôi, hẳn là thú vị…口口口……口……[/color][/size]
[size=12][color=#000000]口…口口口…口……此物叫做“电灯”，以“雷霆之力”灌注可以发光照明，比烛火之流明亮不知多少，有趣有趣………口口口……口……[/color][/size]	[size=12][color=#000000]口...口口口...口…… Vật này gọi là “đèn điện”, dùng “lực sấm sét” để phát sáng, sáng hơn nến không biết bao nhiêu lần, thật thú vị…口口口……口……[/color][/size]
[size=12][color=#000000]口…口口口…口……这里的凡人似乎特别喜欢猫这种动物，就连地毯都画有猫爪印记，在我们世界，只有神力超群的凶兽神兽才会得人喜爱，真的不能理解……口口口……口……[/color][/size]	[size=12][color=#000000]口...口口口...口…… Phàm nhân ở đây dường như đặc biệt thích loài mèo, ngay cả thảm cũng vẽ dấu chân mèo. Trong thế giới của chúng ta, chỉ có thần thú hoặc hung thú có sức mạnh siêu phàm mới được yêu thích, thật không thể hiểu nổi…口口口……口……[/color][/size]
天莲剑	Thiên Liên Kiếm
昆仑宫镇派法宝，以五色金莲为胎铸成剑形，深具灵性。	Pháp bảo trấn phái của Côn Luân Cung, được đúc thành hình kiếm từ kim liên năm màu, mang sức mạnh linh tính.
[size=12][color=#000000]口…口口口…口……此物名为“电风扇”，注入“雷霆之力”便会飞速旋转，产生凉风，虽不如灵符有效，但也让人聊以自慰……口口口……口……[/color][/size]	[size=12][color=#000000]口...口口口...口…… Vật này gọi là “quạt điện”, truyền “lực sấm sét” vào sẽ quay nhanh tạo ra gió mát, dù không hiệu quả như linh phù nhưng cũng đủ an ủi…口口口……口……[/color][/size]
[size=12][color=#000000]口…口口口…口……此界凡人颇爱许愿祈祷之行为，此物名唤“祈愿灯”，便是祈祷的器具之一…有点像我们的孔明灯不是嘛？……口口口……口……[/color][/size]	[size=12][color=#000000]口...口口口...口…… Phàm nhân ở thế giới này rất thích cầu nguyện, vật này gọi là “đèn cầu nguyện”, là một dụng cụ cầu nguyện… hơi giống đèn Khổng Minh của chúng ta phải không?…口口口……口……[/color][/size]
天极神针	Thiên Cực Thần Châm
极天宫镇派法宝，以天地灵药琅琊果为材料制成针体，又用天雷淬炼百年而成。	Pháp bảo trấn phái của Cực Thiên Cung, làm từ linh dược thiên địa Lăng Nha Quả, được tôi luyện bằng thiên lôi trăm năm mà thành.
[size=12][color=#000000]口…口口口…口……此界凡人使用“汽车”来长途奔波，此物就是所谓的“车站”，好似我们世界的驿站一般，吾见之有趣，便使了个法术偷偷摄走一座车站，给你们见识见识……口口口……口……[/color][/size]	[size=12][color=#000000]口...口口口...口…… Phàm nhân ở thế giới này sử dụng “xe hơi” để di chuyển đường dài, vật này chính là cái gọi là “nhà ga”, giống như dịch trạm trong thế giới của chúng ta. Ta thấy thú vị, liền dùng pháp thuật lén chụp lấy một nhà ga, để các ngươi chiêm ngưỡng…口口口……口……[/color][/size]
[size=12][color=#000000]口…口口口…口……此物名为“保险箱”，凡人用来保管私密之物。说实话，真觉得没什么用……随随便便就能被打开……口口口……口……[/color][/size]	[size=12][color=#000000]口...口口口...口…… Vật này gọi là “két sắt”, phàm nhân dùng để cất giữ đồ riêng tư. Nói thật, ta thấy chẳng có gì hữu dụng… tùy tiện cũng có thể mở được…口口口……口……[/color][/size]
紫霞锁云镯	Tử Hà Tỏa Vân Trạc
紫霄宗镇派法宝，以天地灵药木枯藤打造而成，威力不凡。	Pháp bảo trấn phái của Tử Tiêu Tông, chế tác từ linh dược thiên địa Mộc Khô Đằng, uy lực phi phàm.
[size=12][color=#000000]口…口口口…口……自从修行有成，便再也没有尝试过堆雪人这种凡人的游戏了，反而被困在此界动了尘思，罢了，便将此物封印，也算留个念想……口口口……口……[/color][/size]	[size=12][color=#000000]口...口口口...口…… Từ khi tu hành thành công, ta chưa từng thử chơi trò đắp người tuyết của phàm nhân nữa. Nhưng bị mắc kẹt ở thế giới này lại gợi lên chút trần niệm, thôi thì phong ấn vật này, cũng coi như để lại một kỷ niệm…口口口……口……[/color][/size]
[size=12][color=#000000]口…口口口…口……这个铁镐倒是让我想起外门弟子的那些日子，姑且留个纪念吧……口口口……口……[/color][/size]	[size=12][color=#000000]口...口口口...口…… Cây cuốc sắt này làm ta nhớ đến những ngày làm đệ tử ngoại môn, tạm giữ lại làm kỷ niệm vậy…口口口……口……[/color][/size]
[size=12][color=#000000]口…口口口…口……这里的凡人确实有趣，总是能在各种地方找到乐趣，比如这把叫“自宫匕首”玩具剑，哈哈……口口口……口……[/color][/size]	[size=12][color=#000000]口...口口口...口…… Phàm nhân ở đây thực sự thú vị, luôn tìm thấy niềm vui ở mọi nơi, ví dụ như thanh kiếm đồ chơi gọi là “dao tự cung”, haha…口口口……口……[/color][/size]
五雷镇狱神符	Ngũ Lôi Trấn Ngục Thần Phù
玄一道镇派之宝，以太古陨星为原料制成的法宝，上面刻五雷天心正法，威力惊人。	Pháp bảo trấn phái của Huyền Nhất Đạo, được chế tạo từ nguyên liệu là sao băng thời thái cổ, khắc pháp trận Ngũ Lôi Thiên Tâm Chính Pháp, uy lực kinh người.
[size=12][color=#000000]口…口口口…口……木头做的剑啊，倒是让我回忆起刚学剑术时候的日子……口口口……口……[/color][/size]	[size=12][color=#000000]口...口口口...口…… Thanh kiếm gỗ này làm ta nhớ lại những ngày đầu học kiếm thuật…口口口……口……[/color][/size]
[size=12][color=#000000]口…口口口…口……此界的兵器冶炼之术倒是也别出机杼，至少我们世界若不用法力淬炼，很难将青铜剑打造到这个地步……口口口……口……[/color][/size]	[size=12][color=#000000]口...口口口...口…… Kỹ thuật luyện binh khí của thế giới này quả thực độc đáo, ít nhất trong thế giới của chúng ta nếu không dùng pháp lực tinh luyện, khó mà chế tạo kiếm đồng xanh đạt đến trình độ này…口口口……口……[/color][/size]
青索剑	Thanh Tác Kiếm
青莲剑宗镇派之宝，以陨星之铁锻造，锋利无匹。	Pháp bảo trấn phái của Thanh Liên Kiếm Tông, được rèn từ sắt sao băng, sắc bén vô song.
[size=12][color=#000000]口…口口口…口……此物倒是让我想起外门弟子的那些日子，姑且留个纪念吧……口口口……口……[/color][/size]	[size=12][color=#000000]口...口口口...口…… Vật này làm ta nhớ lại những ngày làm đệ tử ngoại môn, tạm giữ lại làm kỷ niệm vậy…口口口……口……[/color][/size]
[size=12][color=#000000]口…口口口…口……这是我在这个世界上第一个朋友阿迪特送的礼物，和凡人交朋友，真的是很久之前的记忆了……口口口……口……[/color][/size]	[size=12][color=#000000]口...口口口...口…… Đây là món quà đầu tiên mà người bạn đầu tiên của ta ở thế giới này, Aditya, tặng. Kết bạn với phàm nhân, thật là ký ức từ rất lâu rồi…口口口……口……[/color][/size]
寒织五云帕	Hàn Chức Ngũ Vân Bố
栖霞宗镇派之宝，以冰蚕丝织成，神妙非常。	Pháp bảo trấn phái của Tê Hà Tông, dệt từ tơ băng tằm, thần diệu vô cùng.
[size=12][color=#000000]口…口口口…口……此物名为“光盘”，据说在此界也算是上古遗物，这东西小小一片就能记录无穷的消息，比元神高人的神念留影都不遑多让，而且代价极其低廉，不需要任何法力就能批量生产，真的是神妙无比，没想到凡人居然能做到仙人都做不到的事，有趣有趣…口口口……口……[/color][/size]	[size=12][color=#000000]口...口口口...口…… Vật này gọi là “đĩa quang”, được cho là di vật thượng cổ ở thế giới này. Chỉ một chiếc đĩa nhỏ có thể lưu trữ vô số thông tin, thậm chí không thua kém thần niệm lưu ảnh của cao nhân nguyên thần, mà chi phí lại cực kỳ thấp, không cần bất cứ pháp lực nào cũng có thể sản xuất hàng loạt, quả thực kỳ diệu. Không ngờ phàm nhân lại làm được điều mà tiên nhân cũng không thể làm, thú vị thú vị…口口口……口……[/color][/size]
[size=12][color=#000000]口…口口口…口……此界凡人多以此物长途跋涉，省却了饲养骡马的繁琐，构思确实巧妙……口口口……口……[/color][/size]	[size=12][color=#000000]口...口口口...口…… Phàm nhân ở thế giới này thường sử dụng vật này để di chuyển đường dài, tiết kiệm được sự phiền toái của việc nuôi la ngựa, ý tưởng quả thực rất khéo léo…口口口……口……[/color][/size]
百灵腐仙剑	Bách Linh Phủ Tiên Kiếm
百蛮山镇派邪剑，以数百妖兽内丹铸成，一旦祭出，邪气滔天。	Tà kiếm trấn phái của Bách Man Sơn, được đúc từ nội đan của hàng trăm yêu thú, khi tế ra tà khí ngút trời.
[size=12][color=#000000]口…口口口…口……此玩偶是名唤“羊驼”的奇特动物，确实闻所未闻的物种……口口口……口……[/color][/size]	[size=12][color=#000000]口...口口口...口…… Con thú nhồi bông này là một loài động vật kỳ lạ gọi là “lạc đà không bướu”, quả thực là một chủng loại chưa từng nghe qua…口口口……口……[/color][/size]
[size=12][color=#000000]口…口口口…口……此物名为“海苔卷饼”，乃是用海洋中一种奇怪的食材制作，颇具风味，不知道我们世界的海洋中有没有此物……口口口……口……[/color][/size]	[size=12][color=#000000]口...口口口...口…… Vật này gọi là “cuốn rong biển”, được làm từ một loại nguyên liệu kỳ lạ trong đại dương, hương vị khá đặc biệt. Không biết trong đại dương của thế giới chúng ta có vật này không…口口口……口……[/color][/size]
[size=12][color=#000000]口…口口口…口……此物名为“汽水”，味道倒是一般，不过内中富含的气泡给人会带来一些奇妙的口感，颇为新奇……口口口……口……[/color][/size]	[size=12][color=#000000]口...口口口...口…… Vật này gọi là “nước ngọt có ga”, hương vị thì bình thường, nhưng những bọt khí bên trong mang lại cảm giác lạ lẫm, khá mới mẻ…口口口……口……[/color][/size]
元磁两心环	Nguyên Từ Lưỡng Tâm Hoàn
七仟坞镇派之宝，威力惊人且深具灵性，传说法宝有自我意识，只要认主，哪怕是白痴都可以使用。	Pháp bảo trấn phái của Thất Thiên Ô, uy lực kinh người và mang linh tính mạnh mẽ. Tương truyền pháp bảo này có ý thức riêng, chỉ cần nhận chủ, dù là kẻ ngu ngốc cũng có thể sử dụng.
[size=12][color=#000000]口…口口口…口……此物名为“奶油鱼汤”，据说奶油是从动物乳汁中提取的精华，我们世界可没有这样的烹饪方法，吃起来有点奇怪……口口口……口……[/color][/size]	[size=12][color=#000000]口...口口口...口…… Vật này gọi là “súp cá kem”, nghe nói kem là tinh chất chiết xuất từ sữa động vật. Thế giới của chúng ta không có phương pháp nấu ăn như vậy, ăn vào có chút lạ lẫm…口口口……口……[/color][/size]
[size=12][color=#000000]口…口口口…口……此物名为“蔬菜丸子汤”，我们也有这道菜，虽然做法类似，但是口味却很不一样，有点想念家乡的味道了……口口口……口……[/color][/size]	[size=12][color=#000000]口...口口口...口…… Vật này gọi là “canh viên rau củ”, chúng ta cũng có món này. Tuy cách chế biến tương tự nhưng hương vị lại rất khác, làm ta nhớ hương vị quê nhà…口口口……口……[/color][/size]
七杀剑	Thất Sát Kiếm
黑山镇派之宝，历经数次正邪大战，无物不斩。	Pháp bảo trấn phái của Hắc Sơn, trải qua nhiều trận chiến chính tà, không gì không thể chém.
[size=12][color=#000000]口…口口口…口……此物名为“肉酱面”，我们也有这道菜，虽然做法类似，但是口味却很不一样，有点想念家乡的味道了……口口口……口……[/color][/size]	[size=12][color=#000000]口...口口口...口…… Vật này gọi là “mì thịt bằm”, chúng ta cũng có món này. Tuy cách chế biến tương tự nhưng hương vị lại rất khác, làm ta nhớ hương vị quê nhà…口口口……口……[/color][/size]
[size=12][color=#000000]口…口口口…口……此物名为“海鲜大杂烩”，其实就是海中食材一锅乱炖，这厨艺简直让我想起太一门的小师弟，哎，不知道他活下来没有……口口口……口……[/color][/size]	[size=12][color=#000000]口...口口口...口…… Vật này gọi là “lẩu hải sản”, thực chất là nấu chung các nguyên liệu từ biển trong một nồi. Kỹ thuật nấu ăn này làm ta nhớ đến tiểu sư đệ của Thái Nhất Môn, không biết cậu ấy còn sống không…口口口……口……[/color][/size]
[size=12][color=#000000]口…口口口…口……此物名为“芝士虾焗饭”，“焗”这种做法似乎在我们的世界没有听说过，感觉有点意思……口口口……口……[/color][/size]	[size=12][color=#000000]口...口口口...口…… Vật này gọi là “cơm đút lò tôm phô mai”, cách chế biến “đút lò” dường như chưa từng nghe qua ở thế giới của chúng ta, cảm giác khá thú vị…口口口……口……[/color][/size]
合欢铃	Hợp Hoan Linh
合欢派镇派法宝，用千棱神玉制成，细看之下有神光流转其中。	Pháp bảo trấn phái của Hợp Hoan Phái, được chế tạo từ ngọc thần ngàn cạnh, nhìn kỹ có thần quang lưu chuyển bên trong.
[size=12][color=#000000]口…口口口…口……此物名为“莹月草汁”，据说可以治疗眩晕，我喝了喝，有点像清心草的味道，真的不怎么样………口口口……口……[/color][/size]	[size=12][color=#000000]口...口口口...口…… Nước ép này gọi là “nước cỏ Dạ Nguyệt”, nghe nói có thể trị chóng mặt. Ta uống thử, có chút giống vị của cỏ Thanh Tâm, thật sự không ngon lắm…口口口……口……[/color][/size]
[NAME]拜访了[SCHOOL]的掌门，掌门十分感谢[NAME]的门派这些年对[SCHOOL]的弟子的关照。他代表[SCHOOL]将一本上古时期人类炼体大能所创的功法赠予[NAME]。希望两派可以在将来继续守望相助，友谊长存。	[NAME] đã đến thăm chưởng môn của [SCHOOL]. Chưởng môn vô cùng cảm kích sự quan tâm của môn phái [NAME] dành cho các đệ tử của [SCHOOL] trong những năm qua. Thay mặt [SCHOOL], chưởng môn đã tặng một bộ công pháp do một bậc thầy luyện thể thời thượng cổ sáng tạo cho [NAME], hy vọng hai phái có thể tiếp tục hỗ trợ lẫn nhau và duy trì tình hữu nghị lâu dài.
[size=12][color=#000000]口…口口口…口……此鱼名为“猫儿跳”，味道一般，但是猫似乎很喜欢吃，真想搞一条给二师兄养的那只火灵猫尝尝……口口口……口……[/color][/size]	[size=12][color=#000000]口...口口口...口…… Loài cá này gọi là “Cá mèo nhảy”, hương vị bình thường, nhưng mèo dường như rất thích ăn. Ta thật muốn bắt một con cho hỏa linh miêu của nhị sư huynh thử…口口口……口……[/color][/size]
[size=12][color=#000000]口…口口口…口……哈哈，这个世界也有小麦，不知道和我们的小麦有什么区别？送一些回去，不知道能不能成功呢……口口口……口……[/color][/size]	[size=12][color=#000000]口...口口口...口…… Haha, thế giới này cũng có lúa mì. Không biết có khác gì với lúa mì của chúng ta không? Gửi một ít về, không biết có thể trồng thành công không…口口口……口……[/color][/size]
[NAME]拜访了[SCHOOL]的掌门，掌门十分感谢[NAME]的门派这些年对[SCHOOL]的弟子的关照。他代表[SCHOOL]将一枚玄武灵玉赠予[NAME]。希望两派可以在将来继续守望相助，友谊长存。	[NAME] đã đến thăm chưởng môn của [SCHOOL]. Chưởng môn vô cùng cảm kích sự quan tâm của môn phái [NAME] dành cho các đệ tử của [SCHOOL] trong những năm qua. Thay mặt [SCHOOL], chưởng môn đã tặng một miếng Huyền Vũ Linh Ngọc cho [NAME], hy vọng hai phái có thể tiếp tục hỗ trợ lẫn nhau và duy trì tình hữu nghị lâu dài.
[size=12][color=#000000]口…口口口…口……此物名为“通天羊奶”，产自这里一个叫通天镇的地方…十分有名……说起来这镇的名字也太威风了，纵观我们世界千年以降，也只有魔帝付辟空当的起通天二字………口口口……口……[/color][/size]	[size=12][color=#000000]口...口口口...口…… Vật này gọi là “sữa dê Thông Thiên”, sản xuất từ một nơi gọi là trấn Thông Thiên… rất nổi tiếng… Nói đến đây, tên của trấn này thật là uy nghiêm. Nhìn lại thế giới chúng ta hàng nghìn năm qua, chỉ có ma đế Phất Phí Không mới dám dùng hai chữ Thông Thiên…口口口……口……[/color][/size]
