房间	Phòng
寇豪真人鬼手宝册	Khấu Hào Chân Nhân Quỷ Thủ Bảo Sách
凝光百炼宝典	Ngưng Quang Bách Luyện Bảo Điển
长生清心纪要	Trường Sinh Thanh Tâm yếu lãm
归源妙手宝册	Quy Nguyên Diệu Thủ Bảo Sách
心斋	Tâm Trai
养吾经	Dưỡng Ngã Kinh
寄情之术	Kỹ thuật gửi tình cảm
坐忘论	Tọa Vong Luận
七情剑	Thất Tình Kiếm
如意幻境	Như Ý Ảo Cảnh
同心诀	Đồng Tâm Quyết
脱胎换骨	Thoát Thai Hoán Cốt
长生诀	Trường Sinh Quyết
心剑	Tâm Kiếm
太上忘情	Thái Thượng Vong Tình
秘宝：清宁飞羽	Bí Bảo: Thanh Ninh Phi Vũ
风神云体	Phong Thần Vân Thể
斩道见我	Trảm Đạo Kiến Ngã
斩念剑	Trảm Niệm Kiếm
极情剑	Cực Tình Kiếm
南海心光咒	Nam Hải Tâm Quang Chú
不坏真言	Bất Phôi Chân Ngôn
飞星诀	Phi tinh quyết
行疆不朽真言	Hành Cương Bất Hủ Chân Ngôn
蓄神密卷	Súc Thần Mật Quyển
迅击剑诀	Tấn Kích Kiếm Quyết
圆转七式	Viên chuyển Thất Thức
大日曳影秘法	Đại Nhật Duệ Ảnh Bí Pháp
知节混元要诀	Tri Tiết Hỗn Nguyên Yếu Quyết
华山迅影秘要	Bí yếu Duệ Ảnh Hoa Sơn
戊己神农丹方	Mậu Kỷ Thần Nông Đơn Phương
琢玉	Trác Ngọc
黄芽摄神	Hoàng Nha Nhiếp Thần
万里神佑书	Vạn Lý Thần Hựu Thư
彻法琢玉	Triệt Pháp Trác Ngọc
太乙鬼手通卷	Thông quyển Quỷ Thủ Thái Ất
坤元气摄经	Khôn Nguyên Khí Nhiếp Kinh
化形飞星咒	Hóa Hình Phi Tinh Chú
六气流光诀	Lục Khí Lưu Quang Quyết
坤元燃灵诀	Quyết Nhiên Linh Khôn Nguyên
归藏秘诀	Quy Tàng Bí quyết
五台崩天经	Ngũ Đài Băng Thiên Kinh
鲸吞要诀	Kình Thôn Yêu Quyết
地龙鬼手通卷	Địa Long Quỷ Thủ Thông Quyển
西海琢玉秘传	Bí Truyền Trác Ngọc Tây Hải
西海鬼手	Tây Hải Quỷ Thủ
单于凡柔真人琢玉宝册	Đơn Vu Phàm Nhân Chân Nhân Trác Ngọc Bảo Sách
蔺晶上仙鬼手秘法	Lận Tinh Thượng Tiên Quỷ Thủ Bí Pháp
造化百炼秘要	Tạo Hóa Bách Luyện Bí Yếu
惊波落花诀	Quyết Kinh Ba Lạc Hoa
逆浪甘霖咒	Chú Cam Lâm Nghịch Lãng
百汇覆天神雷	Bách Hội Phúc Thiên Thần Lôi
真丹覆天神雷	Chân Đơn Phục Thiên Thần Lôi
紫薇金刚经	Tử Vi Kim Cương Kinh
癸水金刚秘册	Quỷ Thuỷ Kim Cương Mật Quyển
彻法金刚	Triệt Pháp Kim Cang
神龟	Huyền Quy
知节佛心书	Tri Tiết Phật Tâm Thư
紫云宫妙手	Diệu Thủ Cung Tử Vân
百草阁归祖	Quy Tổ Các Bách Thảo
万源归真百炼	Vạn Nguyên Quy Chân Bách Luyện
现在贤长青秘法	Bí pháp Hiền Trường Thanh hiện tại
玄武饕餮神功	Huyền Vũ Thao Thiết Thần Công
御气陨星咒	Ngự Khí Vẫn Tinh Chú
四象诀	Tứ Tượng quyết
忘情镇神神雷	Vong Tình Trấn Thần Thần Lôi
嵩山金钟真言	Tung Sơn Kim Chung Chân Ngôn
坤元	Khôn Nguyên
千钧秘法	Thiên Quân Bí Pháp
玄机金刚秘册	Huyền Cơ Kim Cương Bí Sách
神佑册	Sách Thần Hữu
龙虎沃野宝典	Long Hổ Ốc Dã Bảo Điển
赤月摄神要诀	Xích Nguyệt Nhiếp Thần Yêu Quyết
玄关归祖纪要	Huyền Quan Quy Tổ Ký Yếu
鸿蒙摄神书	Hồng Mông Nhiếp Thần thư
驱云诀	Khu Vân Quyết
玄武落花咒	Huyền Vũ Lạc Hoa Chú
黄庭通天	Hoàng Đình Thông Thiên
太上覆灭咒	Chú Thái Thượng Phúc Diệt
迅影十三式	Thập Tam Thức Tốc Ảnh
迅击宝典	Tấn Kích Bảo Điển
破灭秘要	Phá Diệt Bí Yếu
神视秘传	Thần Thị Bí Truyền
琢玉宝册	Bảo Sách Trác Ngọc
逆浪琢玉	Nghịch Lãng Trác Ngọc
太乙多宝宝典	Bảo Điển Đa Bảo Thái Ất
紫云宫佛心记	Tử Vân Cung Phật Tâm Ký
壬水多宝要诀	Nhâm Thủy Đa Bảo Yếu Quyết
东华咒神卷	Đông Hoa Chú Thần Quyển
先天一气神雷	Thần Lôi Nhất Khí Tiên Thiên
行疆陨星真言	Hành Cương Vẫn Tinh Chân Ngôn
御气九极咒	Ngự Khí Cửu Cực Chú
迅击秘要	Tấn Kích Bí Yếu
归藏经	Quy Tàng kinh
戊己崩天	Mậu Kỷ Băng Thiên
五戒蓄神经	Ngũ Giới Trữ Thần Kinh
真丹归藏	Chân Đan Quy Tàng
紫云宫归藏要诀	Tử Vân Cung Quy Tàng Yếu Quyết
麒麟崩天卷	Kỳ Lân Băng Thiên Quyển
炎神殿奠基秘法	Bí Pháp Điện Cơ Viêm Thần Điện
天岭饕餮秘法	Bí Pháp Thao Thiết Thiên Lĩnh
白帝宫清心秘传	Bạch Đế Cung Thanh Tâm Bí Truyền
淳于氏气摄神功	Khí Nhiếp Thần Công thị Thuần Vu
地龙摄神	Địa Long Nhiếp Thần
鸿蒙饕餮	Bản Nguyên Thao Thiết
迅击	Tấn Kích
行疆混元秘法	Bí Pháp Hỗn Nguyên Hành Cương
三才清心诀	Tam Tài Thanh Tâm Quyết
赤霄宫不坏	Xích Tiêu Cung Bất Hoại
武当不朽真言	Võ Đang Bất Hủ Chân Ngôn
迅击经	Cấp Tụng kinh
多宝七签	Đa Bảo Thất Thiêm
阴阳崩天经	Âm Dương Băng Thiên Kinh
天岭归藏	Thiên Lĩnh Quy Tàng
嵩山神农通卷	Tung Sơn Thần Nông Thông Quyển
五台决意	Ngũ Đài Quyết Ý
化形饕餮	Hóa hình Thao Thiết
现在贤鲸吞纪要	Kình Thôn Hiện Tại Hiền Ký Yếu
玄关神龟纪要	Huyền Quan Thần Quy Ký Yếu
归真清心秘要	Quy Chân Thanh Tâm Bí Yếu
逆浪金刚	Nghịch Lãng Kim Cương
奔烈神农宝册	Bôn Liệt Thần Nông Bảo Sách
星辰急诵七签	Tinh Thần Cấp Tụng Bảy Ký
甲乙奠基宝典	Giáp Ất Điện Cơ Bảo Điển
白虎千钧十式	Bạch Hổ Thiên Quân Mười Thức
造化流光	Tạo Hóa Lưu Quang
赤月流光咒	Chú Xích Nguyệt Lưu Quang
玄金燃灵神雷	Huyền Kim Nhiên Linh Thần Lôi
白帝宫先天一气神雷	Bạch Đế cung Tiên Thiên Nhất Khí Thần Lôi
壬水天星诀	Cascade Thiên Tinh quyết
南海七星	Nam Hải Thất Tinh
鸿蒙飞星	Hồng Mông Phi Tinh
臧家化影	Hóa ảnh Tăng gia
断岳五气	Đoạn Nhạc Ngũ Khí
过去庄严流光真言	Quá Khứ Trang Nghiêm Lưu Quang Chân Ngôn
腾岳镇神诀	Quyết Trấn Thần Đằng Nhạc
御神绝杀神雷	Ngự Thần Tuyệt Sát Thần Lôi
归真先天一气诀	Quy Chân Tiên Thiên Nhất Khí Quyết
白帝宫绝杀咒	Bạch Đế Cung Tuyệt Sát Chú
白帝宫落花神雷	Thần Lôi Lạc Hoa Bạch Đế Cung
天金镇神咒	Thiên Kim Trấn Thần Chú
长生镇神咒	Trường Sinh Trấn Thần Chú
紫霄落花神雷	Thần Lôi Lạc Hoa Tử Tiêu
星辰流光真言	Tinh Thần Lưu Quang Chân Ngôn
壬癸飞星神雷	Nhâm Quý Phi Tinh Thần Lôi
紫霄金钟真言	Chân Ngôn Kim Chung Tử Tiêu
嵩山化影神雷	Tung Sơn Hóa Ảnh Thần Lôi
蜀山镇神诀	Quyết Trấn Thần Thục Sơn
癸水天星	Thiên Tinh Quý Thủy
百汇四象	Tứ Tượng Bách Hội
蜀山十二都天咒	Chú Thập Nhị Đô Thiên Thục Sơn
御神飞星咒	Ngự Thần Phi Tinh Chú
星辰十二都天咒	Thập Nhị Đô Thiên Tinh Thần Chú
据传丹霞洞天的大能夏泰在炼丹峰出没。	Nghe nói đại năng Hạ Thái của Đan Hà Động Thiên xuất hiện ở Luyện Đan Phong.
据传青莲剑宗的大能商瑾在南屏村出没。	Nghe nói đại năng Thương Cẩn của Thanh Liên Kiếm Tông xuất hiện ở Nam Bình Thôn.
宗发	Tông pháp
单于凤鸾	Đan Vu Phượng Loan
江彪	Giang Bưu
戎子石	Nhung Tử Thạch
尚易容	Dịch Dung
靳承	Cận Thành
阴醉柳	Âm Túy Liễu
汝初彤	Nhữ Sơ Đồng


