拜祖师	Bái tổ sư
己土辟谷要诀	Kỷ Thổ Tịch Cốc Yếu Quyết
炎神殿通慧要诀	Viêm Thần Điện Thông Tuệ Yếu Quyết
东海神佑要诀	Đông Hải Thần Hữu Yêu Quyết
风月幻境	Phong Nguyệt Huyễn Cảnh
真丹金刚	Chân Đan Kim Cương
长生陨星诀	Trường Sinh Vẫn Tinh Quyết
崩天	Băng Thiên
急诵秘要	Cấp Tụng Bí Yếu
崩天秘诀	Bí Quyết Băng Thiên
华山归藏密卷	Hoa Sơn Quy Tàng mật quyển
摄神册	Sách Nhiếp Thần
入道鬼手要诀	Yếu Quyết Quỷ Thủ Nhập Đạo
多宝神农	Đa Bảo Thần Nông
造化饕餮神功	Tạo Hóa Thao Thiết Thần Công
戊己神佑要诀	Mậu Kỷ Thần Hựu Yếu Quyết
五印刻神	Ngũ Ấn Khắc Thần
行疆神视秘传	Hành Cương Thần Thị Bí Truyền
知节金刚咒	Tri Tiết Kim Cương Chú
现在贤流光真言	Hiện Tại Hiền Lưu Quang Chân Ngôn
戊土金刚咒	Grim Kim Cương Chú
急诵	Cấp Tụng
咒神九卷	Chú Thần Cửu Quyển
归祖	Quy Tổ
通慧册	Thông Tuệ sách
琢玉通卷	Trác Ngọc Thông Quyển
行疆佛心典	Hành Cương Phật Tâm Điển
东华多宝秘传	Đông Hoa Đa Bảo Bí Truyền
和春枫真人神佑典	Hòa Xuân Phong Chân Nhân Thần Hựu Điển
玄关合一秘法	Huyền Quan Hợp Nhất bí pháp
真丹佛心册	Chân Đan Phật Tâm Sách
镇岳鬼手纲要	Trấn Nhạc Quỷ Thủ Cương Yếu
六气饕餮神功	Lục Khí Thao Thiết Thần Công
驱云诀	Khu Vân Quyết
行疆陨星咒	Hành Cương Vẫn Tinh Chú
阴阳天星咒	Âm Dương Thiên Tinh Chú
化影神雷	Hóa Ảnh Thần Lôi
迅击要诀	Yếu Quyết Tấn Kích
迅影宝典	Tấn Ảnh Bảo Điển
迅击决	Tấn Kích Quyết
千钧密卷	Thiên Quân Mật Quyển
西海混元	Tây Hải Hỗn Nguyên
神视秘法	Thần Thị Bí Pháp
麒麟归祖	Kỳ Lân Quy Tổ
现在贤清心要诀	Hiện Tại Hiền Thanh Tâm Yếu Quyết
戊己合一要诀	Mậu Kỷ Hợp Nhất Yêu Quyết
长生决意	Trường Sinh Quyết Ý
班谷云真人奠基经	Ban Cốc Vân Chân Nhân Điển Cơ Kinh
焚风术	Phần Phong Thuật
杀意	Sát Ý
御剑术	Ngự Kiếm Thuật
天妖化血术	Thiên Yêu Hóa Huyết Thuật
七杀魔体	Thất Sát Ma Thể
剑心通明	Kiếm Tâm Thông Minh
心剑交感	Tâm kiếm giao cảm
击字诀	Kích tự quyết
崩字诀	Băng tự quyết
御字诀	Ngự tự quyết
刺字诀	Thứ tự quyết
点字诀	Điểm tự quyết
化字诀	Hóa tự quyết
洗字诀	Tẩy tự quyết
劈字诀	Phách tự quyết
分字诀	Phân tự quyết
摄神御鬼大法	Nhiếp Thần Ngự Quỷ Đại Pháp
神御剑	Thần ngự kiếm
神合剑	Thần hợp kiếm
魔流剑意	Ma Lưu Kiếm Ý
剑灵	Kiếm Linh
秘宝：百灵斩仙剑	Bí Bảo: Bách Linh Trảm Tiên Kiếm
极剑·一	Cực kiếm·Nhất
极剑·二	Cực Kiếm·Nhị
极剑·三	Cực Kiếm·Tam
我剑·一	Ngã kiếm·Nhất
我剑·二	Ngã Kiếm·Nhị
我剑·三	Ngã Kiếm·Tam
勾陈覆灭诀	Quyết Câu Trần Phúc Diệt
碧光天星真言	Bích Quang Thiên Tinh Chân Ngôn
新境金刚神雷	Tân Cảnh Kim Cương Thần Lôi
归藏卷	Quy Tàng quyển
咒神密卷	Chú Thần Mật Quyển
妙手	Diệu Thủ
咒神七签	Chú Thần Thất Thiêm
苍木崩天九卷	Thương Mộc Băng Thiên Chín Quyển
龙虎沃野药典	Long Hổ Ốc Dã Dược Điển
气摄神功	Khí Nhiếp Thần Công
妙手丹方	Diệu Thủ Đan Phương
甲乙多宝秘法	Bí Pháp Đa Bảo Giáp Ất
苍木百炼通卷	Thương Mộc Bách Luyện Thông Quyển
万木饕餮秘法	Vạn Mộc Thao Thiết Bí Pháp
寒月妙手	Hàn Nguyệt Diệu Thủ
少林多宝	Thiếu Lâm Đa Bảo
忘情归祖秘要	Vong Tình Quy Tổ Bí Yếu
勾陈琢玉秘要	Câu Trần Trác Ngọc Bí Yếu
金丹不坏真言	Kim Đan Bất Hoại Chân Ngôn
碧光心光咒	Chú Bích Quang Tâm Quang
蓄神要诀	Súc Thần Yêu Quyết
迅影十式	Thập Thức Tấn Ảnh
坤元要诀	Khôn Nguyên Yếu Quyết
紫云宫破灭决	Tử Vân cung Phá Diệt quyết
过去庄严迅击宝典	Quá Khứ Trang Nghiêm Tấn Kích Bảo Điển
青龙破灭十式	Thanh Long Phá Diệt Thập Thức
琢玉宝册	Bảo Sách Trác Ngọc
多宝要诀	Đa Bảo Yêu Quyết
青龙多宝通卷	Thanh Long Đa Bảo Thông Quyển
苍木多宝通卷	Thương Mộc Đa Bảo Thông Quyển
玄机百炼宝册	Huyền Cơ Bách Luyện Bảo Sách
苍莽百炼秘传	Thương Mãng Bách Luyện bí truyền
甲乙百炼秘法	Giáp Ất Bách Luyện bí pháp
过去庄严辟谷纪要	Tịch Cốc Quá Khứ Trang Nghiêm Ký Yếu
灵犀咒	Linh Tê Chú
嵩山流光	Tùng Sơn Lưu Quang
太乙不朽诀	Thái Ất Bất Hủ Quyết
彻法天星神雷	Triệt Pháp Thiên Tinh Thần Lôi
入道心光	Nhập Đạo Tâm Quang
迅影秘诀	Tấn Ảnh Bí Quyết
蓄神剑	Trữ Thần Kiếm
圆转宝典	Bảo Điển Viên Chuyển
修蛇破灭七式	Bảy Thức Phá Diệt Tu Xà
百汇混元秘法	Bách Hội Hỗn Nguyên Bí Pháp
黄庭混元	Hoàng Đình Hỗn nguyên
五戒千钧七式	Bảy Thức Ngũ Giới Thiên Quân
大日曳影秘要	Đại Nhật Dạ Ảnh Bí Yếu
彻法咒神七签	Triệt Pháp Chú Thần Bảy Ký
归祖秘传	Quy Tổ Bí Truyền
鬼手秘传	Quỷ Thủ Bí Truyền
黄庭鬼手秘传	Hoàng Đình quỷ thủ bí truyền
初解鲸吞神功	Sơ Giải Kình Thôn Thần Công
修蛇琢玉通卷	Tu Xà Trác Ngục Thông Quyển
耿雅柔上仙沃野丹方	Đan phương Vụ Dã của Thượng Tiên Cảnh Nhã Nhu
惊波决意神功	Kinh Ba Quyết Ý Thần Công
玄机金钟咒	Huyền Cơ Kim Chung Chú
过去庄严落花咒	Quá Khứ Trang Nghiêm Lạc Hoa Chú
迅击密卷	Mật quyển Tấn Kích
圆转剑诀	Viên Chuyển Kiếm Quyết
坤元十三式	Khôn Nguyên thập tam thức
混元七式	Hỗn nguyên. Bảy Thức
炽凰破灭十三式	Thập Tam Thức Xích Hoàng Phá Diệt
紫云宫迅影十式	Tử Vân Cung Tấn Ảnh Thập Thức
真丹破灭宝典	Chân Đan Phá Diệt Bảo Điển
赤炎蓄神剑	Xích Viêm Tích Thần Kiếm
神视秘传	Thần Thị Bí Truyền
合一册	Hợp Nhất
赤月神农通卷	Xích Nguyệt Thần Nông Thông Quyển
丙丁通慧书	Bính Đinh Thông Tuệ Thư
朱雀摄神记	Chu Tước Nhiếp Thần Ký
炽凰摄神宝典	Sí Hoàng Nhiếp Thần bảo điển
御气佛心记	Ngự Khí Phật Tâm Ký
御气佛心书	Ngự Khí Phật Tâm thư
东华琢玉密卷	Đông Hoa Trác Ngọc Mật Quyển
邓妍真人合一典	Điển Hợp Nhất Chân Nhân Đặng Nghiên
六壬神算	Lục Nhâm Thần Toán
八门玄金天劫剑阵	Bát Môn Huyền Kim Thiên Kiếp Kiếm Trận
未命名配置	Cấu hình chưa đặt tên
一字长蛇阵	Trận Xà Dài Nhất Tự
传闻此阵以八门之理成阵，进可杀伐，退可护身，非常玄妙。	Tương truyền trận pháp này dựa trên lý lẽ của bát môn mà thành, có thể tiến công giết địch, có thể lui về phòng thủ, vô cùng huyền diệu.
成阵	Lập trận


